achado_r2;titulo_historico;r3_relacionados;reavaliacao_r4;encerramento
F-11;SYNC, AUTO e UUID em erros não cumprem todo o contrato;F-R3-04,F-R3-07;"Relógios, exclusividade polling/callback e T-R2-01 permanecem; sem mudança no finalizador. Handler de admissão e finalizer não mudaram; política efetiva/versão e OutputMapping pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-12;Credencial dedicada resolvida não é a usada na chamada;F-R3-01,F-R3-11;"API_KEY agora atravessa modelo/projeção/executor/poller; gate synthetic-provider persiste. Fechar adapter real e homologação. Tokens removidos do Redis; lock por chave existe. L1 ainda depende do cofre; crescimento de locks não limitado.";NAO_QUALIFICADO_INTEGRALMENTE
F-13;Autenticação do simulador não equivale a integração segura real;F-R3-01,F-R3-02;"API_KEY agora atravessa modelo/projeção/executor/poller; gate synthetic-provider persiste. Fechar adapter real e homologação. Capability e recibo antes de ACK foram adicionados. Nova inbox tem lacunas de autenticação/deduplicação e recuperador; rota segue sob JWT Hub.";NAO_QUALIFICADO_INTEGRALMENTE
F-14;Redis e broker bloqueiam inclusive reinício do caminho SYNC;F-R3-09,F-R3-11;"Teto de 100 removido por paginação; todas as ofertas ainda materializadas antes do filtro e Atlas consultado por pedido. Tokens removidos do Redis; lock por chave existe. L1 ainda depende do cofre; crescimento de locks não limitado.";NAO_QUALIFICADO_INTEGRALMENTE
F-15;Polling sem autenticação, lease e orçamento configurável;F-R3-02,F-R3-04;"Capability e recibo antes de ACK foram adicionados. Nova inbox tem lacunas de autenticação/deduplicação e recuperador; rota segue sob JWT Hub. Relógios, exclusividade polling/callback e T-R2-01 permanecem; sem mudança no finalizador.";NAO_QUALIFICADO_INTEGRALMENTE
F-16;Não há amortecimento adaptativo nem isolamento de carga;F-R3-10,F-R3-12;"Capacity continua sem ligação a Execute/requestPoll; código desse controlador e consumidores permanece igual. Transports por chamada permanecem; arquivo egress não mudou e chamadas NewClient continuam.";NAO_QUALIFICADO_INTEGRALMENTE
F-17;Catálogo publicado pode ser sobrescrito e não governa admissão;F-R3-07,F-R3-09;"Handler de admissão e finalizer não mudaram; política efetiva/versão e OutputMapping pendentes. Teto de 100 removido por paginação; todas as ofertas ainda materializadas antes do filtro e Atlas consultado por pedido.";NAO_QUALIFICADO_INTEGRALMENTE
F-18;Produtos, DAG e contratos legados ainda não existem;F-R3-07,F-R3-08;"Handler de admissão e finalizer não mudaram; política efetiva/versão e OutputMapping pendentes. Executor de DAG não conectado; PlanDAG de catálogo não é execução de produto.";NAO_QUALIFICADO_INTEGRALMENTE
F-19;Importação não ativa adaptadores e substitui configurações locais;F-R3-01;"API_KEY agora atravessa modelo/projeção/executor/poller; gate synthetic-provider persiste. Fechar adapter real e homologação.";NAO_QUALIFICADO_INTEGRALMENTE
F-20;Console limitado a quatro formulários e histórico efêmero;F-R3-14,F-R3-15,F-R3-16;"Nenhuma alteração no frontend; IDs de entrega/rotas SLA/reconcile continuam incompatíveis. Frontend/handlers financeiros não mudaram; payload/tenant/datas e fluxo idempotente continuam pendentes. Catálogo UI não mudou; multimodalidade, campos auth, fuso e lookups continuam pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-21;Faltam jornadas administrativas de produto, operação e financeiro;F-R3-14,F-R3-15,F-R3-16;"Nenhuma alteração no frontend; IDs de entrega/rotas SLA/reconcile continuam incompatíveis. Frontend/handlers financeiros não mudaram; payload/tenant/datas e fluxo idempotente continuam pendentes. Catálogo UI não mudou; multimodalidade, campos auth, fuso e lookups continuam pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-22;Formulários expõem detalhes técnicos e estados pouco guiados;F-R3-16;"Catálogo UI não mudou; multimodalidade, campos auth, fuso e lookups continuam pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-23;Custo e receita não usam contratos econômicos congelados;F-R3-18;"Financeiro/contratos econômicos não mudaram; incidência e fechamento integrados continuam pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-24;Saldo estrito não contabiliza consumo já capturado;F-R3-17;"Financeiro não mudou; reserva versus efetivo e franquia pré-efeito precisam fechamento.";NAO_QUALIFICADO_INTEGRALMENTE
F-25;Ledger, precisão monetária e fechamento não estão implementados;F-R3-17,F-R3-18;"Financeiro não mudou; reserva versus efetivo e franquia pré-efeito precisam fechamento. Financeiro/contratos econômicos não mudaram; incidência e fechamento integrados continuam pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-26;Webhook usa URL como identidade do segredo;F-R3-19;"Pulsar não mudou; seleção de destinos atuais em vez de snapshot continua.";NAO_QUALIFICADO_INTEGRALMENTE
F-27;Webhook sem claim, recibos completos e política por cliente;F-R3-19;"Pulsar não mudou; seleção de destinos atuais em vez de snapshot continua.";NAO_QUALIFICADO_INTEGRALMENTE
F-28;Resultado final não é materializado como representação imutável completa;F-R3-07,F-R3-19;"Handler de admissão e finalizer não mudaram; política efetiva/versão e OutputMapping pendentes. Pulsar não mudou; seleção de destinos atuais em vez de snapshot continua.";NAO_QUALIFICADO_INTEGRALMENTE
F-29;Arquivos grandes não participam dos fluxos reais;F-R3-20;"Objetos/admissão não mudaram; integração de FileRefs/resultados no adapter permanece pendente.";NAO_QUALIFICADO_INTEGRALMENTE
F-30;Persistência sem isolamento de papéis, expurgo e auditoria durável;F-R3-23;Migrações de callback adicionadas, mas alteração de migração histórica cria novo risco de upgrade. RLS/restore sem prova integrada atual.;NAO_QUALIFICADO_INTEGRALMENTE
F-31;Docker local não inclui toda a plataforma e não garante persistência na recriação;F-R3-21;"Kind/overlays não mudaram; dependências ligadas a Compose não equivalem a cluster completo.";NAO_QUALIFICADO_INTEGRALMENTE
F-32;Kubernetes é referência incompleta, sem os cinco ambientes;F-R3-21;"Kind/overlays não mudaram; dependências ligadas a Compose não equivalem a cluster completo.";NAO_QUALIFICADO_INTEGRALMENTE
F-33;Autoscaling de células e reconciliação de IaC não fecham o circuito;F-R3-22;"Autoscaling/placement/drenagem não receberam fechamento neste delta; exigem ensaio.";NAO_QUALIFICADO_INTEGRALMENTE
F-34;Clientes AWS e bootstrap são fixos ao ambiente local;F-R3-21;"Kind/overlays não mudaram; dependências ligadas a Compose não equivalem a cluster completo.";NAO_QUALIFICADO_INTEGRALMENTE
F-35;Probes não acompanham capacidades e não há drenagem graciosa;F-R3-22;"Autoscaling/placement/drenagem não receberam fechamento neste delta; exigem ensaio.";NAO_QUALIFICADO_INTEGRALMENTE
F-36;Observabilidade não mede SLA, pressão nem custódia;F-R3-24;"UI SLA/telemetria não mudaram; sinais reais de domínio e consulta bilateral pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-37;Ensaios de HA, isolamento e recuperação não foram demonstrados;F-R3-22,F-R3-23;"Autoscaling/placement/drenagem não receberam fechamento neste delta; exigem ensaio. Migrações de callback adicionadas, mas alteração de migração histórica cria novo risco de upgrade. RLS/restore sem prova integrada atual.";NAO_QUALIFICADO_INTEGRALMENTE
F-38;Cobertura existente não prova as garantias que os nomes dos testes sugerem;F-R3-25;"OpenSpec strict atual 17/17 e build/race passam nesta auditoria; 18 testes skip. Matriz omite 416 cenários v4 e relatórios são contraditórios.";NAO_QUALIFICADO_INTEGRALMENTE
F-39;Rastreabilidade histórica contém conclusões que não refletem o snapshot;F-R3-25;"OpenSpec strict atual 17/17 e build/race passam nesta auditoria; 18 testes skip. Matriz omite 416 cenários v4 e relatórios são contraditórios.";NAO_QUALIFICADO_INTEGRALMENTE
F-40;Versões e contratos de ferramenta carecem de qualificação operacional;F-R3-21,F-R3-25;"Kind/overlays não mudaram; dependências ligadas a Compose não equivalem a cluster completo. OpenSpec strict atual 17/17 e build/race passam nesta auditoria; 18 testes skip. Matriz omite 416 cenários v4 e relatórios são contraditórios.";NAO_QUALIFICADO_INTEGRALMENTE
F-41;Destinos configuráveis não possuem defesa SSRF;F-R3-01,F-R3-02;"API_KEY agora atravessa modelo/projeção/executor/poller; gate synthetic-provider persiste. Fechar adapter real e homologação. Capability e recibo antes de ACK foram adicionados. Nova inbox tem lacunas de autenticação/deduplicação e recuperador; rota segue sob JWT Hub.";NAO_QUALIFICADO_INTEGRALMENTE
F-42;Recepção e pools não limitam custo por tenant;F-R3-10,F-R3-12;"Capacity continua sem ligação a Execute/requestPoll; código desse controlador e consumidores permanece igual. Transports por chamada permanecem; arquivo egress não mudou e chamadas NewClient continuam.";NAO_QUALIFICADO_INTEGRALMENTE
