requisito;titulo;origem;spec;linha;r4_diretos;status
FIN-11;Conta, credencial e responsabilidade econômica;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;325;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DEC-01;Decisões arquiteturais de referência;v4;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DEC-02;Registro de decisões pendentes (P-01 a P-11);v4;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;28;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DEC-03;Decisões herdadas da v3 e preservadas;v4;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;56;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DEC-04;Decisões e compatibilidade introduzidas na v4;v4;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;84;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DEC-05;Registro de gaps, riscos e mitigação;v4;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;112;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-01;Modelo de capacidade;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-02;Estratégia de baixa latência;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;23;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-03;SLOs e semântica de garantia;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;41;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-04;Ambientes e alta disponibilidade;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;64;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-05;Probes, escala e proteção;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;82;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-06;Observabilidade e runbooks;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;100;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-07;Amortecimento e controle adaptativo do provedor;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;118;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-08;Isolamento de concorrência e células;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;141;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-09;Orçamento de latência e paralelismo;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;164;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-10;Aferição de SLA em ambas as relações;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;182;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-11;Preservação de informação e limites da garantia;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;200;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-12;Escala automática de ponta a ponta;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;218;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-13;Matriz de dependências e fallback seguro;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;236;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-14;Manutenção sem indisponibilidade evitável;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;304;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
OPE-15;Criticidade, tolerância a falhas e continuidade operacional;v4;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;322;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-01;Admissão durável;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-02;Modos de atendimento;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;28;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-03;Estados e autoridade;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;51;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-04;Operação e correlação;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;74;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-05;Polling configurável;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;92;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-06;Concorrência entre callback e polling;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;115;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-07;Contrato de consultas públicas;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;133;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-08;Webhooks;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;156;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-09;Falhas, retry e encerramento;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;179;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-10;TTL de reprocessamento em segundos;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;202;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-11;Deadline, encerramento e disputa temporal;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;230;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-12;Rejeição de retorno tardio sem apagar evidência;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;253;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-13;Paralelismo e espera eficiente;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;276;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-14;SYNC direto, prazo e resposta final;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;294;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-15;Posse única entre despacho direto, fila e recuperação;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;322;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
EXE-16;UUIDv7, repetição e consulta futura;v4;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;350;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-01;Bancos e propriedade;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-02;Modelo lógico mínimo;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;23;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-03;Transações e referências;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;41;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-04;Resultado como fonte de consulta;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;59;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-05;Arquivos e atomicidade com objetos;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;82;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-06;Retenção e expurgo;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;100;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-07;Isolamento, recuperação e auditoria;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;118;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-08;Persistência adicional de contrato, prazo e pressão;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;136;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-09;Dependência mínima de escrita, sem custódia fictícia;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;159;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-10;Cache dispensável e continuidade de leitura;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;177;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
DAD-11;Dados, placement e crescimento de células;v4;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;200;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
QUA-01;Estratégia de engenharia;v4;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
QUA-02;Casos críticos de falha e concorrência;v4;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;28;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
QUA-03;Critérios de aceite e evidência;v4;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;76;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
QUA-04;Gates e definição de pronto;v4;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;104;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
QUA-05;Qualificação dos incrementos v3;v4;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;132;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
QUA-06;Qualificação integrada da v4;v4;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;185;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-SEG-01;Identidade autenticada e autorização por recurso;R2;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-SEG-02;Workloads com menor privilégio;R2;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-SEG-03;Leitura administrativa individual entre tenants;R2;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-SEG-04;Destinos externos e callbacks protegidos;R2;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;77;R4-CBK-01,R4-CBK-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-SEG-05;Sessão administrativa e trilha de alterações;R2;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;101;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-01;Aceite e intenção recuperáveis em todas as modalidades;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-02;Idempotência concorrente com UUID recuperável;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-03;Um dono de despacho e tentativa anterior ao efeito;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-04;Resultado externo válido e durável;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;77;R4-CBK-04;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-05;Inbox, outbox e confirmação de mensagens;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;101;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-06;Deadline por confirmação durável e final tardio;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;125;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-07;SYNC direto e AUTO com espera limitada;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;155;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-08;Representação final única por contrato de cliente;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;185;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-EXE-09;Reconciliação de obrigações sem reexecutar efeitos;R2;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;209;R4-CBK-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-01;Adapter executável homologado por capacidade;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-02;Credencial efetiva vinculada ao cliente e à conta;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-03;Segredos reais e cache dispensável;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;53;R4-OPE-01;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-04;Polling e callback combináveis e coordenados;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;77;R4-CBK-01;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-05;Janela absoluta de retry e classificação de falha;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;107;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-06;Controle adaptativo global por domínio de capacidade;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;137;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-07;Entrega ao cliente com identidade e política próprias;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;167;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-INT-08;SLA do provedor separado de SLA do cliente;R2;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;197;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-01;Catálogo versionado com publicação governada;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;5;R4-CTR-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-02;Ofertas por cliente e roteamento autorizado;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-03;Agregação paralela limitada;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-04;Composição por DAG e compensações;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;77;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-05;Perfis técnicos de entrada e saída por cliente;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;101;R4-CTR-01,R4-CTR-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-06;Snapshot e projeções independentes de consulta por pedido;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;125;R4-OPE-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-07;Importação segura e inventário executável distinto;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;149;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-CAT-08;Consulta administrativa persistente e onboarding;R2;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;173;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-01;Sessão, contexto e navegação administrativa;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-02;Listagens reais e detalhe editável;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-03;Clientes, aplicações e ofertas contratadas;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-04;Catálogo importado e serviços executáveis;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;77;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
