requisito;origem;titulo;spec;linha;spec_digest
FIN-04;v4;Medição e chaves econômicas;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;84;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-05;v4;Matriz de incidência;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;107;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-06;v4;Reserva de saldo e limites;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;180;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-07;v4;Apuração e ledger;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;208;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-08;v4;Fechamento, conciliação e pagamento;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;236;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-09;v4;Exemplos de referência para QA;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;264;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-10;v4;Quebra de SLA, custo tardio e créditos;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;297;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-11;v4;Conta, credencial e responsabilidade econômica;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;325;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
DEC-01;v4;Decisões arquiteturais de referência;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;5;6c979b48c1fd09e2fa9769713767765d56f00b8e21181d5d2927d7f2adc04991
DEC-02;v4;Registro de decisões pendentes (P-01 a P-11);openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;28;6c979b48c1fd09e2fa9769713767765d56f00b8e21181d5d2927d7f2adc04991
DEC-03;v4;Decisões herdadas da v3 e preservadas;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;56;6c979b48c1fd09e2fa9769713767765d56f00b8e21181d5d2927d7f2adc04991
DEC-04;v4;Decisões e compatibilidade introduzidas na v4;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;84;6c979b48c1fd09e2fa9769713767765d56f00b8e21181d5d2927d7f2adc04991
DEC-05;v4;Registro de gaps, riscos e mitigação;openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md;112;6c979b48c1fd09e2fa9769713767765d56f00b8e21181d5d2927d7f2adc04991
OPE-01;v4;Modelo de capacidade;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;5;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-02;v4;Estratégia de baixa latência;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;23;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-03;v4;SLOs e semântica de garantia;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;41;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-04;v4;Ambientes e alta disponibilidade;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;64;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-05;v4;Probes, escala e proteção;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;82;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-06;v4;Observabilidade e runbooks;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;100;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-07;v4;Amortecimento e controle adaptativo do provedor;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;118;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-08;v4;Isolamento de concorrência e células;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;141;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-09;v4;Orçamento de latência e paralelismo;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;164;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-10;v4;Aferição de SLA em ambas as relações;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;182;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-11;v4;Preservação de informação e limites da garantia;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;200;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-12;v4;Escala automática de ponta a ponta;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;218;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-13;v4;Matriz de dependências e fallback seguro;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;236;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-14;v4;Manutenção sem indisponibilidade evitável;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;304;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
OPE-15;v4;Criticidade, tolerância a falhas e continuidade operacional;openspec/changes/hub-interoperabilidade-v4/specs/desempenho-e-operacao/spec.md;322;3d6492624df2ff81833c49221d44973247355f167af0504e2815411f0804e42c
EXE-01;v4;Admissão durável;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;5;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-02;v4;Modos de atendimento;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;28;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-03;v4;Estados e autoridade;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;51;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-04;v4;Operação e correlação;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;74;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-05;v4;Polling configurável;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;92;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-06;v4;Concorrência entre callback e polling;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;115;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-07;v4;Contrato de consultas públicas;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;133;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-08;v4;Webhooks;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;156;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-09;v4;Falhas, retry e encerramento;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;179;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-10;v4;TTL de reprocessamento em segundos;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;202;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-11;v4;Deadline, encerramento e disputa temporal;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;230;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-12;v4;Rejeição de retorno tardio sem apagar evidência;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;253;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-13;v4;Paralelismo e espera eficiente;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;276;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-14;v4;SYNC direto, prazo e resposta final;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;294;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-15;v4;Posse única entre despacho direto, fila e recuperação;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;322;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
EXE-16;v4;UUIDv7, repetição e consulta futura;openspec/changes/hub-interoperabilidade-v4/specs/execucao-e-integracoes/spec.md;350;061764ffacb09801714f2b3aa486eb490c23f494f5b31c32795e48d7cdf21cb5
DAD-01;v4;Bancos e propriedade;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;5;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-02;v4;Modelo lógico mínimo;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;23;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-03;v4;Transações e referências;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;41;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-04;v4;Resultado como fonte de consulta;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;59;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-05;v4;Arquivos e atomicidade com objetos;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;82;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-06;v4;Retenção e expurgo;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;100;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-07;v4;Isolamento, recuperação e auditoria;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;118;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-08;v4;Persistência adicional de contrato, prazo e pressão;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;136;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-09;v4;Dependência mínima de escrita, sem custódia fictícia;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;159;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-10;v4;Cache dispensável e continuidade de leitura;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;177;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
DAD-11;v4;Dados, placement e crescimento de células;openspec/changes/hub-interoperabilidade-v4/specs/persistencia-e-dados/spec.md;200;6924a7aacfcfe098fa1f091d477977abfdbf3c4731e71dead9754f64001a22d1
QUA-01;v4;Estratégia de engenharia;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;5;cc6ef9d0c05d0fd7ff379cc18c2acf567b2788eba63e17bc82102128e97b2ebd
QUA-02;v4;Casos críticos de falha e concorrência;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;28;cc6ef9d0c05d0fd7ff379cc18c2acf567b2788eba63e17bc82102128e97b2ebd
QUA-03;v4;Critérios de aceite e evidência;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;76;cc6ef9d0c05d0fd7ff379cc18c2acf567b2788eba63e17bc82102128e97b2ebd
QUA-04;v4;Gates e definição de pronto;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;104;cc6ef9d0c05d0fd7ff379cc18c2acf567b2788eba63e17bc82102128e97b2ebd
QUA-05;v4;Qualificação dos incrementos v3;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;132;cc6ef9d0c05d0fd7ff379cc18c2acf567b2788eba63e17bc82102128e97b2ebd
QUA-06;v4;Qualificação integrada da v4;openspec/changes/hub-interoperabilidade-v4/specs/qualidade-e-aceite/spec.md;185;cc6ef9d0c05d0fd7ff379cc18c2acf567b2788eba63e17bc82102128e97b2ebd
R2-SEG-01;R2;Identidade autenticada e autorização por recurso;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;5;ccb8a7f5a400aa6ff12ddae7848841e2ca92e8f1a80983074c4828dbca3e1fef
R2-SEG-02;R2;Workloads com menor privilégio;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;29;ccb8a7f5a400aa6ff12ddae7848841e2ca92e8f1a80983074c4828dbca3e1fef
R2-SEG-03;R2;Leitura administrativa individual entre tenants;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;53;ccb8a7f5a400aa6ff12ddae7848841e2ca92e8f1a80983074c4828dbca3e1fef
R2-SEG-04;R2;Destinos externos e callbacks protegidos;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;77;ccb8a7f5a400aa6ff12ddae7848841e2ca92e8f1a80983074c4828dbca3e1fef
R2-SEG-05;R2;Sessão administrativa e trilha de alterações;openspec/changes/r2-01-identidade-e-isolamento/specs/identidade-e-isolamento-operacional/spec.md;101;ccb8a7f5a400aa6ff12ddae7848841e2ca92e8f1a80983074c4828dbca3e1fef
R2-EXE-01;R2;Aceite e intenção recuperáveis em todas as modalidades;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;5;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-02;R2;Idempotência concorrente com UUID recuperável;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;29;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-03;R2;Um dono de despacho e tentativa anterior ao efeito;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;53;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-04;R2;Resultado externo válido e durável;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;77;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-05;R2;Inbox, outbox e confirmação de mensagens;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;101;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-06;R2;Deadline por confirmação durável e final tardio;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;125;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-07;R2;SYNC direto e AUTO com espera limitada;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;155;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-08;R2;Representação final única por contrato de cliente;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;185;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-EXE-09;R2;Reconciliação de obrigações sem reexecutar efeitos;openspec/changes/r2-02-execucao-duravel-e-resultados/specs/execucao-duravel-e-resultados/spec.md;209;56cfa7eff27828d2a14228f22cb9c1822f31de6d098a0691d03c7dd1af2a5f04
R2-INT-01;R2;Adapter executável homologado por capacidade;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;5;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-INT-02;R2;Credencial efetiva vinculada ao cliente e à conta;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;29;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-INT-03;R2;Segredos reais e cache dispensável;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;53;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-INT-04;R2;Polling e callback combináveis e coordenados;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;77;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-INT-05;R2;Janela absoluta de retry e classificação de falha;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;107;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-INT-06;R2;Controle adaptativo global por domínio de capacidade;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;137;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-INT-07;R2;Entrega ao cliente com identidade e política próprias;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;167;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-INT-08;R2;SLA do provedor separado de SLA do cliente;openspec/changes/r2-03-integracoes-credenciais-e-pressao/specs/integracoes-credenciais-e-pressao/spec.md;197;12ffb95ed2254ff8d38e776d69615326679d3aa1141db7b2b4c5f819bc1a2aa3
R2-CAT-01;R2;Catálogo versionado com publicação governada;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;5;a68dd4755d071467a9c9bffb95d73edec71608081d47156e22d7ac5e29ac3907
R2-CAT-02;R2;Ofertas por cliente e roteamento autorizado;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;29;a68dd4755d071467a9c9bffb95d73edec71608081d47156e22d7ac5e29ac3907
R2-CAT-03;R2;Agregação paralela limitada;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;53;a68dd4755d071467a9c9bffb95d73edec71608081d47156e22d7ac5e29ac3907
R2-CAT-04;R2;Composição por DAG e compensações;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;77;a68dd4755d071467a9c9bffb95d73edec71608081d47156e22d7ac5e29ac3907
R2-CAT-05;R2;Perfis técnicos de entrada e saída por cliente;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;101;a68dd4755d071467a9c9bffb95d73edec71608081d47156e22d7ac5e29ac3907
R2-CAT-06;R2;Snapshot e projeções independentes de consulta por pedido;openspec/changes/r2-04-catalogo-produtos-e-contratos/specs/catalogo-produtos-e-contratos-versionados/spec.md;125;a68dd4755d071467a9c9bffb95d73edec71608081d47156e22d7ac5e29ac3907
