cenario;requisito;titulo;comando;ambiente;resultado;evidencia;observacao
R2-EXE-06-S03;R2-EXE-06;Final e expiração concorrentes;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-06-S04;R2-EXE-06;Resultado tardio custoso;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-07-S01;R2-EXE-07;SYNC com broker parado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-07-S02;R2-EXE-07;Natureza incompatível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-07-S03;R2-EXE-07;AUTO rápido e lento;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-07-S04;R2-EXE-07;Cliente desconecta;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-08-S01;R2-EXE-08;Igualdade completa;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-08-S02;R2-EXE-08;Upgrade e mudança de contrato;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-08-S03;R2-EXE-08;Resultado pendente ou expirado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-09-S01;R2-EXE-09;Protocolo órfão de despacho;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-09-S02;R2-EXE-09;Parceiro sem consulta idempotente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-09-S03;R2-EXE-09;Callback antes da associação;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-01-S01;R2-INT-01;REST real distinto do simulador;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-01-S02;R2-INT-01;Capacidade ausente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-01-S03;R2-INT-01;Protocolo especializado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-02-S01;R2-INT-02;Dois clientes na mesma conta;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-02-S02;R2-INT-02;Vínculo dedicado indisponível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-02-S03;R2-INT-02;Rotação e cache;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-03-S01;R2-INT-03;mTLS comprovado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-03-S02;R2-INT-03;Redis ausente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-03-S03;R2-INT-03;Cofre indisponível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-04-S01;R2-INT-04;Ativação de polling;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-04-S02;R2-INT-04;Resposta pendente saudável;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-04-S03;R2-INT-04;Polling e callback concorrentes;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-04-S04;R2-INT-04;Falha de recibo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-05-S01;R2-INT-05;TTL zero;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-05-S02;R2-INT-05;Reinício no meio da janela;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-05-S03;R2-INT-05;429 com espera incompatível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-05-S04;R2-INT-05;Timeout após envio;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-06-S01;R2-INT-06;Provedor degrada;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-06-S02;R2-INT-06;Provedor escala;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-06-S03;R2-INT-06;Três réplicas e partição;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-06-S04;R2-INT-06;Ruído de cliente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-07-S01;R2-INT-07;Mesma URL em dois tenants;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-07-S02;R2-INT-07;Rotação e replay;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-07-S03;R2-INT-07;Destino lento ou indisponível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-07-S04;R2-INT-07;Duplicata no receptor;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-08-S01;R2-INT-08;Violação apenas do provedor;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-08-S02;R2-INT-08;Rejeição contratada;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-INT-08-S03;R2-INT-08;Coorte ainda aberta;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-01-S01;R2-CAT-01;Publicação válida;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-01-S02;R2-CAT-01;Sobrescrita de publicado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-01-S03;R2-CAT-01;Edição concorrente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-02-S01;R2-CAT-02;Seleção elegível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-02-S02;R2-CAT-02;Conta escolhida pelo cliente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-02-S03;R2-CAT-02;Sem combinação de SLA viável;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-03-S01;R2-CAT-03;A e B independentes;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-03-S02;R2-CAT-03;Passo opcional falha;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-03-S03;R2-CAT-03;Fan-out abusivo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-04-S01;R2-CAT-04;Dependência C;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-04-S02;R2-CAT-04;Ciclo ou referência inválida;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-04-S03;R2-CAT-04;Compensação incompleta;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-05-S01;R2-CAT-05;Dois contratos legados;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-05-S02;R2-CAT-05;Transformação inválida;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-05-S03;R2-CAT-05;Upgrade de schema;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-06-S01;R2-CAT-06;Contrato muda durante processamento;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-06-S02;R2-CAT-06;Atlas parado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-06-S03;R2-CAT-06;Revogação de segurança;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-07-S01;R2-CAT-07;Reimportação idempotente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-07-S02;R2-CAT-07;Falha no meio do lote;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-07-S03;R2-CAT-07;Credenciais na collection;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-08-S01;R2-CAT-08;Milhares de registros;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-08-S02;R2-CAT-08;Refresh e outro operador;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-CAT-08-S03;R2-CAT-08;Capacidade insuficiente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-01-S01;R2-ADM-01;Entrada autorizada;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-01-S02;R2-ADM-01;URL sem permissão;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-01-S03;R2-ADM-01;Logout;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-02-S01;R2-ADM-02;Catálogo populoso;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-02-S02;R2-ADM-02;Lista falha;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-02-S03;R2-ADM-02;Conflito de edição;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-03-S01;R2-ADM-03;Novo cliente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-03-S02;R2-ADM-03;Pendência visível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-03-S03;R2-ADM-03;Suspensão;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-04-S01;R2-ADM-04;Importação por preview;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-04-S02;R2-ADM-04;Serviço validado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-04-S03;R2-ADM-04;Sem adapter;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-05-S01;R2-ADM-05;Editor de composição;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-05-S02;R2-ADM-05;Ciclo detectado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-05-S03;R2-ADM-05;Simulação sem efeitos;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-06-S01;R2-ADM-06;Diagnóstico de binding;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-06-S02;R2-ADM-06;Rotação;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-06-S03;R2-ADM-06;Pressão reduzida;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-07-S01;R2-ADM-07;Contrato legado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-07-S02;R2-ADM-07;TTL versus SLA;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-07-S03;R2-ADM-07;SYNC incompatível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-08-S01;R2-ADM-08;Diagnóstico completo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-08-S02;R2-ADM-08;Resultado custodiado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-08-S03;R2-ADM-08;Filtro entre tenants;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-09-S01;R2-ADM-09;Webhook esgotado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-09-S02;R2-ADM-09;UNKNOWN externo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-09-S03;R2-ADM-09;Leitor administrativo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-10-S01;R2-ADM-10;Apuração de quebra;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-10-S02;R2-ADM-10;Dados desatualizados;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-10-S03;R2-ADM-10;Consulta limitada;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-11-S01;R2-ADM-11;Extrato explicável;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-11-S02;R2-ADM-11;Fechamento incompleto;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-11-S03;R2-ADM-11;Estorno;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-12-S01;R2-ADM-12;Teclado e erro;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-12-S02;R2-ADM-12;Falha de rede ou 409;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-ADM-12-S03;R2-ADM-12;Jornada integrada;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-01-S01;R2-FIN-01;Preço muda antes de consumir;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-01-S02;R2-FIN-01;Cliente paga diretamente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-01-S03;R2-FIN-01;Compra por submit;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-02-S01;R2-FIN-02;Dois passos custosos;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-02-S02;R2-FIN-02;Polling tarifado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-02-S03;R2-FIN-02;Precisão;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-03-S01;R2-FIN-03;Limite cumulativo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-03-S02;R2-FIN-03;Concorrência pelo último saldo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-03-S03;R2-FIN-03;Limite não configurado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-03-S04;R2-FIN-03;Timeout com efeito incerto;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-04-S01;R2-FIN-04;Faixa marginal;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-04-S02;R2-FIN-04;Pacote versus soma;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-04-S03;R2-FIN-04;Franquia final concorrente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-05-S01;R2-FIN-05;Partidas balanceadas;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-05-S02;R2-FIN-05;Reprocessamento;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-05-S03;R2-FIN-05;Estorno autorizado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-06-S01;R2-FIN-06;Fato atrasado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-06-S02;R2-FIN-06;Exportação repetida;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-FIN-06-S03;R2-FIN-06;Contestação de SLA;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-01-S01;R2-DAD-01;Arquivo elegível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-01-S02;R2-DAD-01;Objeto de outro cliente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-01-S03;R2-DAD-01;Multipart incompleto;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-02-S01;R2-DAD-02;Resultado grande;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-02-S02;R2-DAD-02;S3 falha;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-02-S03;R2-DAD-02;Objeto sem commit do protocolo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-03-S01;R2-DAD-03;Expurgo elegível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-03-S02;R2-DAD-03;Entrega pendente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-03-S03;R2-DAD-03;Mensagem antiga;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-04-S01;R2-DAD-04;Writer indisponível com final válido;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-04-S02;R2-DAD-04;Réplica atrasada;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-04-S03;R2-DAD-04;Isolamento de domínio;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-05-S01;R2-DAD-05;Restore controlado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-05-S02;R2-DAD-05;Operação após backup;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-DAD-05-S03;R2-DAD-05;Falha regional;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-01-S01;R2-OPE-01;Primeira instalação;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-01-S02;R2-OPE-01;Recriação sem reset;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-01-S03;R2-OPE-01;Cache desligado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-02-S01;R2-OPE-02;Overlay aplicável;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-02-S02;R2-OPE-02;Separação ambiental;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-02-S03;R2-OPE-02;Produção sem perfil;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-03-S01;R2-OPE-03;Dependência opcional falha;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-03-S02;R2-OPE-03;Rolling update;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-03-S03;R2-OPE-03;Provedor fora;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-04-S01;R2-OPE-04;Fila cresce com CPU baixa;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-04-S02;R2-OPE-04;Célula próxima do envelope;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-04-S03;R2-OPE-04;Quota esgotada;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-05-S01;R2-OPE-05;Cliente realocado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-05-S02;R2-OPE-05;Dois ambientes/células;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-05-S03;R2-OPE-05;Falha parcial de provisionamento;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-06-S01;R2-OPE-06;Reinício com broker fora;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-06-S02;R2-OPE-06;Redis lenta;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-06-S03;R2-OPE-06;Todas cópias autoritativas indisponíveis;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-07-S01;R2-OPE-07;Fluxo rastreável;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-07-S02;R2-OPE-07;Alerta exercitado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-07-S03;R2-OPE-07;Backend de observabilidade fora;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-08-S01;R2-OPE-08;AWS real;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-08-S02;R2-OPE-08;IAM insuficiente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-08-S03;R2-OPE-08;Atualização de dependência;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-09-S01;R2-OPE-09;Perfil de referência;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-09-S02;R2-OPE-09;Manutenção e ruído;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-OPE-09-S03;R2-OPE-09;Uso crítico;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-01-S01;R2-QUA-01;Novo requisito implementado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-01-S02;R2-QUA-01;Evidência incompatível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-01-S03;R2-QUA-01;Decisão ainda pendente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-02-S01;R2-QUA-02;Ambiente limpo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-02-S02;R2-QUA-02;Regressão do eco;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-02-S03;R2-QUA-02;Regressão financeira;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-03-S01;R2-QUA-03;PR de backend;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-03-S02;R2-QUA-03;UI sem backend;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-03-S03;R2-QUA-03;P0 reaberto;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-04-S01;R2-QUA-04;Importação deste pacote;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-04-S02;R2-QUA-04;Mudança R2 concluída;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-QUA-04-S03;R2-QUA-04;Regressão posterior;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R3-ADM-01-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-01-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-01-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-02-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-02-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-02-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-03-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-03-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-03-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-04-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-04-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-ADM-04-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-01-S01;R3-CAT-01;precisão numérica e enum;cd hub && go test ./internal/atlas -run TestTechnicalProjectionPreservesExactNumbersAndEnums;local;PASS;internal/atlas/catalog_test.go;regressão unitária atual; integração de publicação pendente
R3-CAT-01-S02;R3-CAT-01;schema aninhado e additionalProperties;cd hub && go test ./internal/atlas -run TestTechnicalProjectionPreservesExactNumbersAndEnums;local;PASS;internal/atlas/catalog_test.go;regressão unitária atual; dialeto completo ainda pendente
R3-CAT-01-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-02-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-02-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-02-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-03-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-03-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-03-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-04-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-04-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-CAT-04-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-01-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-01-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-01-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-02-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-02-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-02-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-03-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-03-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-03-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-04-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-04-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-04-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-05-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-05-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-EXE-05-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-01-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-01-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-01-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-02-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-02-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-02-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-03-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-FIN-03-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
