requisito;titulo;origem;tarefas;situacao;evidencia;observacao
SEG-02;Destinos, callbacks e dados;baseline;"r2-01-identidade-e-isolamento:2.4/3.4;r2-03-integracoes-credenciais-e-pressao:2.4/3.4;r2-03-integracoes-credenciais-e-pressao:2.7/3.7;r2-07-objetos-dados-e-retencao:2.1/3.1";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
SEG-03;Isolamento e auditoria;baseline;"r2-01-identidade-e-isolamento:2.1/3.1;r2-01-identidade-e-isolamento:2.2/3.2;r2-01-identidade-e-isolamento:2.5/3.5;r2-07-objetos-dados-e-retencao:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
CFG-04;Configuração dos novos limites;baseline;"r2-03-integracoes-credenciais-e-pressao:2.5/3.5;r2-04-catalogo-produtos-e-contratos:2.1/3.1;r2-05-console-administrativo:2.7/3.7";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
SEG-04;Administração entre tenants para desenvolvedores;baseline;"r2-01-identidade-e-isolamento:2.3/3.3;r2-05-console-administrativo:2.1/3.1;r2-05-console-administrativo:2.8/3.8;r2-05-console-administrativo:2.9/3.9";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CFG-05;Gestão de credenciais Hub–cliente–provedor;baseline;"r2-01-identidade-e-isolamento:2.4/3.4;r2-03-integracoes-credenciais-e-pressao:2.2/3.2;r2-05-console-administrativo:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
CFG-06;Onboarding e capacidade como serviço interno;baseline;"r2-04-catalogo-produtos-e-contratos:2.8/3.8;r2-05-console-administrativo:2.2/3.2;r2-05-console-administrativo:2.3/3.3;r2-08-operacao-elastica-e-observavel:2.4/3.4;r2-08-operacao-elastica-e-observavel:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
SEG-05;Resolução, rotação e isolamento de segredo;baseline;"r2-03-integracoes-credenciais-e-pressao:2.2/3.2;r2-03-integracoes-credenciais-e-pressao:2.3/3.3;r2-05-console-administrativo:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
FIN-01;Contrato de aquisição;baseline;"r2-05-console-administrativo:2.11/3.11;r2-06-financeiro-auditavel:2.1/3.1";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
FIN-02;Contrato de venda e planos;baseline;"r2-04-catalogo-produtos-e-contratos:2.2/3.2;r2-05-console-administrativo:2.11/3.11;r2-06-financeiro-auditavel:2.1/3.1;r2-06-financeiro-auditavel:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
FIN-03;Vigência e snapshot;baseline;"r2-04-catalogo-produtos-e-contratos:2.6/3.6;r2-05-console-administrativo:2.7/3.7;r2-06-financeiro-auditavel:2.1/3.1";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
FIN-04;Medição e chaves econômicas;baseline;"r2-02-execucao-duravel-e-resultados:2.5/3.5;r2-06-financeiro-auditavel:2.2/3.2";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
FIN-05;Matriz de incidência;baseline;"r2-06-financeiro-auditavel:2.1/3.1;r2-06-financeiro-auditavel:2.2/3.2;r2-06-financeiro-auditavel:2.4/3.4";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
FIN-06;Reserva de saldo e limites;baseline;"r2-05-console-administrativo:2.11/3.11;r2-06-financeiro-auditavel:2.3/3.3";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
FIN-07;Apuração e ledger;baseline;"r2-05-console-administrativo:2.11/3.11;r2-06-financeiro-auditavel:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
FIN-08;Fechamento, conciliação e pagamento;baseline;"r2-05-console-administrativo:2.11/3.11;r2-06-financeiro-auditavel:2.6/3.6";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
FIN-09;Exemplos de referência para QA;baseline;"r2-06-financeiro-auditavel:2.2/3.2;r2-06-financeiro-auditavel:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
FIN-10;Quebra de SLA, custo tardio e créditos;baseline;"r2-02-execucao-duravel-e-resultados:2.6/3.6;r2-03-integracoes-credenciais-e-pressao:2.8/3.8;r2-05-console-administrativo:2.11/3.11;r2-06-financeiro-auditavel:2.3/3.3;r2-06-financeiro-auditavel:2.5/3.5;r2-06-financeiro-auditavel:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
FIN-11;Conta, credencial e responsabilidade econômica;baseline;"r2-03-integracoes-credenciais-e-pressao:2.2/3.2;r2-06-financeiro-auditavel:2.1/3.1;r2-06-financeiro-auditavel:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DEC-01;Decisões arquiteturais de referência;baseline;r2-09-qualificacao-e-rastreabilidade:2.4/3.4;REVALIDACAO_PENDENTE;;DOCUMENTAL
DEC-02;Registro de decisões pendentes (P-01 a P-11);baseline;r2-09-qualificacao-e-rastreabilidade:2.1/3.1;REVALIDACAO_PENDENTE;;DOCUMENTAL
DEC-03;Decisões herdadas da v3 e preservadas;baseline;r2-09-qualificacao-e-rastreabilidade:2.4/3.4;REVALIDACAO_PENDENTE;;DOCUMENTAL
DEC-04;Decisões e compatibilidade introduzidas na v4;baseline;r2-09-qualificacao-e-rastreabilidade:2.4/3.4;REVALIDACAO_PENDENTE;;DOCUMENTAL
DEC-05;Registro de gaps, riscos e mitigação;baseline;"r2-09-qualificacao-e-rastreabilidade:2.1/3.1;r2-09-qualificacao-e-rastreabilidade:2.4/3.4";REVALIDACAO_PENDENTE;;DOCUMENTAL
OPE-01;Modelo de capacidade;baseline;r2-08-operacao-elastica-e-observavel:2.9/3.9;REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
OPE-02;Estratégia de baixa latência;baseline;r2-08-operacao-elastica-e-observavel:2.9/3.9;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
OPE-03;SLOs e semântica de garantia;baseline;"r2-08-operacao-elastica-e-observavel:2.7/3.7;r2-08-operacao-elastica-e-observavel:2.9/3.9";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
OPE-04;Ambientes e alta disponibilidade;baseline;"r2-08-operacao-elastica-e-observavel:2.1/3.1;r2-08-operacao-elastica-e-observavel:2.2/3.2;r2-08-operacao-elastica-e-observavel:2.8/3.8";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
OPE-05;Probes, escala e proteção;baseline;"r2-08-operacao-elastica-e-observavel:2.2/3.2;r2-08-operacao-elastica-e-observavel:2.3/3.3";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
OPE-06;Observabilidade e runbooks;baseline;"r2-05-console-administrativo:2.10/3.10;r2-08-operacao-elastica-e-observavel:2.7/3.7";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
OPE-07;Amortecimento e controle adaptativo do provedor;baseline;"r2-03-integracoes-credenciais-e-pressao:2.6/3.6;r2-05-console-administrativo:2.6/3.6";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
OPE-08;Isolamento de concorrência e células;baseline;"r2-03-integracoes-credenciais-e-pressao:2.6/3.6;r2-08-operacao-elastica-e-observavel:2.4/3.4;r2-08-operacao-elastica-e-observavel:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
OPE-09;Orçamento de latência e paralelismo;baseline;r2-08-operacao-elastica-e-observavel:2.9/3.9;REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
OPE-10;Aferição de SLA em ambas as relações;baseline;"r2-02-execucao-duravel-e-resultados:2.6/3.6;r2-03-integracoes-credenciais-e-pressao:2.8/3.8;r2-05-console-administrativo:2.10/3.10;r2-08-operacao-elastica-e-observavel:2.7/3.7";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
OPE-11;Preservação de informação e limites da garantia;baseline;"r2-02-execucao-duravel-e-resultados:2.5/3.5;r2-02-execucao-duravel-e-resultados:2.9/3.9;r2-07-objetos-dados-e-retencao:2.2/3.2;r2-07-objetos-dados-e-retencao:2.3/3.3;r2-07-objetos-dados-e-retencao:2.5/3.5;r2-08-operacao-elastica-e-observavel:2.9/3.9";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
OPE-12;Escala automática de ponta a ponta;baseline;r2-08-operacao-elastica-e-observavel:2.4/3.4;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
OPE-13;Matriz de dependências e fallback seguro;baseline;"r2-03-integracoes-credenciais-e-pressao:2.3/3.3;r2-08-operacao-elastica-e-observavel:2.3/3.3;r2-08-operacao-elastica-e-observavel:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
OPE-14;Manutenção sem indisponibilidade evitável;baseline;r2-08-operacao-elastica-e-observavel:2.3/3.3;REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
OPE-15;Criticidade, tolerância a falhas e continuidade operacional;baseline;"r2-07-objetos-dados-e-retencao:2.5/3.5;r2-08-operacao-elastica-e-observavel:2.9/3.9;r2-09-qualificacao-e-rastreabilidade:2.3/3.3";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
EXE-01;Admissão durável;baseline;"r2-02-execucao-duravel-e-resultados:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.2/3.2";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-02;Modos de atendimento;baseline;r2-02-execucao-duravel-e-resultados:2.7/3.7;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-03;Estados e autoridade;baseline;"r2-02-execucao-duravel-e-resultados:2.9/3.9;r2-04-catalogo-produtos-e-contratos:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-04;Operação e correlação;baseline;"r2-02-execucao-duravel-e-resultados:2.3/3.3;r2-02-execucao-duravel-e-resultados:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-05;Polling configurável;baseline;r2-03-integracoes-credenciais-e-pressao:2.4/3.4;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-06;Concorrência entre callback e polling;baseline;r2-03-integracoes-credenciais-e-pressao:2.4/3.4;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-07;Contrato de consultas públicas;baseline;"r2-01-identidade-e-isolamento:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-05-console-administrativo:2.8/3.8";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-08;Webhooks;baseline;"r2-02-execucao-duravel-e-resultados:2.5/3.5;r2-03-integracoes-credenciais-e-pressao:2.7/3.7;r2-05-console-administrativo:2.9/3.9";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-09;Falhas, retry e encerramento;baseline;"r2-02-execucao-duravel-e-resultados:2.3/3.3;r2-02-execucao-duravel-e-resultados:2.9/3.9;r2-03-integracoes-credenciais-e-pressao:2.5/3.5;r2-05-console-administrativo:2.9/3.9";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-10;TTL de reprocessamento em segundos;baseline;"r2-03-integracoes-credenciais-e-pressao:2.5/3.5;r2-05-console-administrativo:2.7/3.7";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-11;Deadline, encerramento e disputa temporal;baseline;"r2-02-execucao-duravel-e-resultados:2.6/3.6;r2-03-integracoes-credenciais-e-pressao:2.8/3.8;r2-05-console-administrativo:2.7/3.7";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-12;Rejeição de retorno tardio sem apagar evidência;baseline;r2-02-execucao-duravel-e-resultados:2.6/3.6;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-13;Paralelismo e espera eficiente;baseline;"r2-03-integracoes-credenciais-e-pressao:2.6/3.6;r2-04-catalogo-produtos-e-contratos:2.3/3.3;r2-04-catalogo-produtos-e-contratos:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-14;SYNC direto, prazo e resposta final;baseline;"r2-02-execucao-duravel-e-resultados:2.4/3.4;r2-02-execucao-duravel-e-resultados:2.7/3.7";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-15;Posse única entre despacho direto, fila e recuperação;baseline;"r2-02-execucao-duravel-e-resultados:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.3/3.3;r2-02-execucao-duravel-e-resultados:2.9/3.9";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
EXE-16;UUIDv7, repetição e consulta futura;baseline;"r2-01-identidade-e-isolamento:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.2/3.2";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-01;Bancos e propriedade;baseline;"r2-01-identidade-e-isolamento:2.2/3.2;r2-07-objetos-dados-e-retencao:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-02;Modelo lógico mínimo;baseline;r2-02-execucao-duravel-e-resultados:2.1/3.1;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-03;Transações e referências;baseline;"r2-02-execucao-duravel-e-resultados:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.2/3.2;r2-02-execucao-duravel-e-resultados:2.3/3.3;r2-06-financeiro-auditavel:2.3/3.3";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-04;Resultado como fonte de consulta;baseline;"r2-02-execucao-duravel-e-resultados:2.4/3.4;r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-05-console-administrativo:2.8/3.8;r2-07-objetos-dados-e-retencao:2.2/3.2";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-05;Arquivos e atomicidade com objetos;baseline;"r2-07-objetos-dados-e-retencao:2.1/3.1;r2-07-objetos-dados-e-retencao:2.2/3.2";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-06;Retenção e expurgo;baseline;r2-07-objetos-dados-e-retencao:2.3/3.3;REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
DAD-07;Isolamento, recuperação e auditoria;baseline;"r2-01-identidade-e-isolamento:2.2/3.2;r2-07-objetos-dados-e-retencao:2.4/3.4;r2-07-objetos-dados-e-retencao:2.5/3.5;r2-08-operacao-elastica-e-observavel:2.1/3.1";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-08;Persistência adicional de contrato, prazo e pressão;baseline;"r2-04-catalogo-produtos-e-contratos:2.6/3.6;r2-07-objetos-dados-e-retencao:2.3/3.3";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-09;Dependência mínima de escrita, sem custódia fictícia;baseline;"r2-02-execucao-duravel-e-resultados:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.9/3.9;r2-07-objetos-dados-e-retencao:2.2/3.2;r2-08-operacao-elastica-e-observavel:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-10;Cache dispensável e continuidade de leitura;baseline;"r2-03-integracoes-credenciais-e-pressao:2.3/3.3;r2-04-catalogo-produtos-e-contratos:2.6/3.6;r2-07-objetos-dados-e-retencao:2.4/3.4;r2-08-operacao-elastica-e-observavel:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
DAD-11;Dados, placement e crescimento de células;baseline;"r2-04-catalogo-produtos-e-contratos:2.8/3.8;r2-06-financeiro-auditavel:2.3/3.3;r2-08-operacao-elastica-e-observavel:2.4/3.4;r2-08-operacao-elastica-e-observavel:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
QUA-01;Estratégia de engenharia;baseline;"r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-08-operacao-elastica-e-observavel:2.1/3.1;r2-09-qualificacao-e-rastreabilidade:2.2/3.2";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
QUA-02;Casos críticos de falha e concorrência;baseline;r2-09-qualificacao-e-rastreabilidade:2.2/3.2;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
QUA-03;Critérios de aceite e evidência;baseline;"r2-05-console-administrativo:2.12/3.12;r2-09-qualificacao-e-rastreabilidade:2.1/3.1;r2-09-qualificacao-e-rastreabilidade:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
QUA-04;Gates e definição de pronto;baseline;"r2-05-console-administrativo:2.12/3.12;r2-08-operacao-elastica-e-observavel:2.8/3.8;r2-09-qualificacao-e-rastreabilidade:2.1/3.1;r2-09-qualificacao-e-rastreabilidade:2.3/3.3";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
QUA-05;Qualificação dos incrementos v3;baseline;r2-09-qualificacao-e-rastreabilidade:2.2/3.2;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
QUA-06;Qualificação integrada da v4;baseline;"r2-09-qualificacao-e-rastreabilidade:2.2/3.2;r2-09-qualificacao-e-rastreabilidade:2.3/3.3";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
R2-SEG-01;Identidade autenticada e autorização por recurso;r2-01-identidade-e-isolamento;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-SEG-02;Workloads com menor privilégio;r2-01-identidade-e-isolamento;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-SEG-03;Leitura administrativa individual entre tenants;r2-01-identidade-e-isolamento;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-SEG-04;Destinos externos e callbacks protegidos;r2-01-identidade-e-isolamento;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-SEG-05;Sessão administrativa e trilha de alterações;r2-01-identidade-e-isolamento;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-01;Aceite e intenção recuperáveis em todas as modalidades;r2-02-execucao-duravel-e-resultados;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-02;Idempotência concorrente com UUID recuperável;r2-02-execucao-duravel-e-resultados;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-03;Um dono de despacho e tentativa anterior ao efeito;r2-02-execucao-duravel-e-resultados;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-04;Resultado externo válido e durável;r2-02-execucao-duravel-e-resultados;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-05;Inbox, outbox e confirmação de mensagens;r2-02-execucao-duravel-e-resultados;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-06;Deadline por confirmação durável e final tardio;r2-02-execucao-duravel-e-resultados;2.6 / 3.6;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-07;SYNC direto e AUTO com espera limitada;r2-02-execucao-duravel-e-resultados;2.7 / 3.7;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-08;Representação final única por contrato de cliente;r2-02-execucao-duravel-e-resultados;2.8 / 3.8;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-EXE-09;Reconciliação de obrigações sem reexecutar efeitos;r2-02-execucao-duravel-e-resultados;2.9 / 3.9;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
