baseline_id;titulo;capability;status_no_snapshot;achados;evidencias;requisitos_r2;changes;cenarios;tarefas;baseline_url;observacao
COM-05;Mesmo contrato em GET e webhook;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;"F-06;F-26;F-27;F-28";"hub/internal/cometa/executor.go:120;hub/internal/cometa/executor.go:192;hub/internal/cometa/executor.go:267;hub/internal/cometa/store.go:45;hub/internal/pulsar/store.go:64;hub/internal/pulsar/store.go:91;hub/internal/pulsar/worker.go:71;hub/migrations/core/0001_init.sql:101;hub/internal/pulsar/store.go:105;hub/internal/pulsar/worker.go:15;hub/internal/pulsar/worker.go:59;hub/internal/orbita/finalize.go:49;hub/internal/orbita/handlers.go:303;hub/test/e2e/e2e_test.go:163";"R2-EXE-08;R2-INT-07;R2-CAT-05";"r2-02-execucao-duravel-e-resultados;r2-03-integracoes-credenciais-e-pressao;r2-04-catalogo-produtos-e-contratos";"R2-EXE-08-S01;R2-EXE-08-S02;R2-EXE-08-S03;R2-INT-07-S01;R2-INT-07-S02;R2-INT-07-S03;R2-INT-07-S04;R2-CAT-05-S01;R2-CAT-05-S02;R2-CAT-05-S03";"r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-03-integracoes-credenciais-e-pressao:2.7/3.7;r2-04-catalogo-produtos-e-contratos:2.5/3.5";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L235;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
COM-06;Contrato do despacho direto;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;F-11;"hub/internal/orbita/handlers.go:168;hub/internal/orbita/handlers.go:187;hub/internal/orbita/handlers.go:242;hub/internal/platform/httpserver/httpserver.go:90";"R2-EXE-03;R2-EXE-04;R2-EXE-07";r2-02-execucao-duravel-e-resultados;"R2-EXE-03-S01;R2-EXE-03-S02;R2-EXE-03-S03;R2-EXE-04-S01;R2-EXE-04-S02;R2-EXE-04-S03;R2-EXE-07-S01;R2-EXE-07-S02;R2-EXE-07-S03;R2-EXE-07-S04";"r2-02-execucao-duravel-e-resultados:2.3/3.3;r2-02-execucao-duravel-e-resultados:2.4/3.4;r2-02-execucao-duravel-e-resultados:2.7/3.7";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L258;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
CAT-01;Catálogo de serviços;catalogo-e-portfolio;PARCIAL_NAO_QUALIFICADO;"F-17;F-19;F-20";"hub/internal/atlas/store.go:48;hub/internal/atlas/handlers.go:42;hub/internal/orbita/handlers.go:157;hub/deploy/import_hiveplace_collection.sh:38;hub/deploy/import_hiveplace_collection.sh:58;hub/internal/cometa/executor.go:120;hub/migrations/control/0003_provider_api_catalog.sql:4;hub/admin-ui/src/App.tsx:7;hub/admin-ui/src/pages/ServicesPage.tsx:15;hub/admin-ui/src/api/atlasClient.ts:70";"R2-CAT-01;R2-CAT-07;R2-ADM-02;R2-ADM-04";"r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-CAT-01-S01;R2-CAT-01-S02;R2-CAT-01-S03;R2-CAT-07-S01;R2-CAT-07-S02;R2-CAT-07-S03;R2-ADM-02-S01;R2-ADM-02-S02;R2-ADM-02-S03;R2-ADM-04-S01;R2-ADM-04-S02;R2-ADM-04-S03";"r2-04-catalogo-produtos-e-contratos:2.1/3.1;r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-05-console-administrativo:2.2/3.2;r2-05-console-administrativo:2.4/3.4";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L5;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
CAT-02;Portfólio e disponibilidade;catalogo-e-portfolio;NAO_IMPLEMENTADO;"F-17;F-19";"hub/internal/atlas/store.go:48;hub/internal/atlas/handlers.go:42;hub/internal/orbita/handlers.go:157;hub/deploy/import_hiveplace_collection.sh:38;hub/deploy/import_hiveplace_collection.sh:58;hub/internal/cometa/executor.go:120;hub/migrations/control/0003_provider_api_catalog.sql:4";"R2-CAT-01;R2-CAT-02;R2-CAT-07;R2-ADM-03;R2-ADM-04";"r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-CAT-01-S01;R2-CAT-01-S02;R2-CAT-01-S03;R2-CAT-02-S01;R2-CAT-02-S02;R2-CAT-02-S03;R2-CAT-07-S01;R2-CAT-07-S02;R2-CAT-07-S03;R2-ADM-03-S01;R2-ADM-03-S02;R2-ADM-03-S03;R2-ADM-04-S01;R2-ADM-04-S02;R2-ADM-04-S03";"r2-04-catalogo-produtos-e-contratos:2.1/3.1;r2-04-catalogo-produtos-e-contratos:2.2/3.2;r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-05-console-administrativo:2.3/3.3;r2-05-console-administrativo:2.4/3.4";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L23;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-03;Agregação;catalogo-e-portfolio;NAO_IMPLEMENTADO;F-18;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";"R2-CAT-03;R2-ADM-05";"r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-CAT-03-S01;R2-CAT-03-S02;R2-CAT-03-S03;R2-ADM-05-S01;R2-ADM-05-S02;R2-ADM-05-S03";"r2-04-catalogo-produtos-e-contratos:2.3/3.3;r2-05-console-administrativo:2.5/3.5";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L41;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-04;Composição;catalogo-e-portfolio;NAO_IMPLEMENTADO;F-18;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";"R2-CAT-04;R2-ADM-05";"r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-CAT-04-S01;R2-CAT-04-S02;R2-CAT-04-S03;R2-ADM-05-S01;R2-ADM-05-S02;R2-ADM-05-S03";"r2-04-catalogo-produtos-e-contratos:2.4/3.4;r2-05-console-administrativo:2.5/3.5";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L59;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-05;Consolidação e efeitos;catalogo-e-portfolio;NAO_IMPLEMENTADO;F-18;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";"R2-CAT-03;R2-CAT-04;R2-ADM-05";"r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-CAT-03-S01;R2-CAT-03-S02;R2-CAT-03-S03;R2-CAT-04-S01;R2-CAT-04-S02;R2-CAT-04-S03;R2-ADM-05-S01;R2-ADM-05-S02;R2-ADM-05-S03";"r2-04-catalogo-produtos-e-contratos:2.3/3.3;r2-04-catalogo-produtos-e-contratos:2.4/3.4;r2-05-console-administrativo:2.5/3.5";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L77;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-06;Seleção e equivalência de provedores;catalogo-e-portfolio;NAO_IMPLEMENTADO;F-18;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";"R2-INT-01;R2-INT-06;R2-CAT-02;R2-ADM-06";"r2-03-integracoes-credenciais-e-pressao;r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-INT-01-S01;R2-INT-01-S02;R2-INT-01-S03;R2-INT-06-S01;R2-INT-06-S02;R2-INT-06-S03;R2-INT-06-S04;R2-CAT-02-S01;R2-CAT-02-S02;R2-CAT-02-S03;R2-ADM-06-S01;R2-ADM-06-S02;R2-ADM-06-S03";"r2-03-integracoes-credenciais-e-pressao:2.1/3.1;r2-03-integracoes-credenciais-e-pressao:2.6/3.6;r2-04-catalogo-produtos-e-contratos:2.2/3.2;r2-05-console-administrativo:2.6/3.6";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L95;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-07;Política comercial do produto;catalogo-e-portfolio;NAO_IMPLEMENTADO;F-18;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";"R2-ADM-05;R2-FIN-04";"r2-05-console-administrativo;r2-06-financeiro-auditavel";"R2-ADM-05-S01;R2-ADM-05-S02;R2-ADM-05-S03;R2-FIN-04-S01;R2-FIN-04-S02;R2-FIN-04-S03";"r2-05-console-administrativo:2.5/3.5;r2-06-financeiro-auditavel:2.4/3.4";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L113;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-08;Rastreabilidade da composição;catalogo-e-portfolio;NAO_IMPLEMENTADO;F-18;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";"R2-CAT-03;R2-CAT-04;R2-ADM-05";"r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-CAT-03-S01;R2-CAT-03-S02;R2-CAT-03-S03;R2-CAT-04-S01;R2-CAT-04-S02;R2-CAT-04-S03;R2-ADM-05-S01;R2-ADM-05-S02;R2-ADM-05-S03";"r2-04-catalogo-produtos-e-contratos:2.3/3.3;r2-04-catalogo-produtos-e-contratos:2.4/3.4;r2-05-console-administrativo:2.5/3.5";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L131;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-09;Contratos técnicos por cliente;catalogo-e-portfolio;NAO_IMPLEMENTADO;"F-18;F-28";"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25;hub/internal/orbita/finalize.go:49;hub/internal/orbita/handlers.go:303;hub/test/e2e/e2e_test.go:163";"R2-EXE-08;R2-CAT-05;R2-ADM-07";"r2-02-execucao-duravel-e-resultados;r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-EXE-08-S01;R2-EXE-08-S02;R2-EXE-08-S03;R2-CAT-05-S01;R2-CAT-05-S02;R2-CAT-05-S03;R2-ADM-07-S01;R2-ADM-07-S02;R2-ADM-07-S03";"r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-04-catalogo-produtos-e-contratos:2.5/3.5;r2-05-console-administrativo:2.7/3.7";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L149;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
CAT-10;Elegibilidade de SLA e capacidade;catalogo-e-portfolio;PARCIAL_NAO_QUALIFICADO;F-17;"hub/internal/atlas/store.go:48;hub/internal/atlas/handlers.go:42;hub/internal/orbita/handlers.go:157";"R2-INT-08;R2-CAT-02";"r2-03-integracoes-credenciais-e-pressao;r2-04-catalogo-produtos-e-contratos";"R2-INT-08-S01;R2-INT-08-S02;R2-INT-08-S03;R2-CAT-02-S01;R2-CAT-02-S02;R2-CAT-02-S03";"r2-03-integracoes-credenciais-e-pressao:2.8/3.8;r2-04-catalogo-produtos-e-contratos:2.2/3.2";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L172;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
CAT-11;Crescimento, modalidade e elegibilidade de credencial;catalogo-e-portfolio;PARCIAL_NAO_QUALIFICADO;F-11;"hub/internal/orbita/handlers.go:168;hub/internal/orbita/handlers.go:187;hub/internal/orbita/handlers.go:242;hub/internal/platform/httpserver/httpserver.go:90";"R2-EXE-07;R2-INT-01;R2-INT-02;R2-CAT-02;R2-CAT-08;R2-ADM-03";"r2-02-execucao-duravel-e-resultados;r2-03-integracoes-credenciais-e-pressao;r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-EXE-07-S01;R2-EXE-07-S02;R2-EXE-07-S03;R2-EXE-07-S04;R2-INT-01-S01;R2-INT-01-S02;R2-INT-01-S03;R2-INT-02-S01;R2-INT-02-S02;R2-INT-02-S03;R2-CAT-02-S01;R2-CAT-02-S02;R2-CAT-02-S03;R2-CAT-08-S01;R2-CAT-08-S02;R2-CAT-08-S03;R2-ADM-03-S01;R2-ADM-03-S02;R2-ADM-03-S03";"r2-02-execucao-duravel-e-resultados:2.7/3.7;r2-03-integracoes-credenciais-e-pressao:2.1/3.1;r2-03-integracoes-credenciais-e-pressao:2.2/3.2;r2-04-catalogo-produtos-e-contratos:2.2/3.2;r2-04-catalogo-produtos-e-contratos:2.8/3.8;r2-05-console-administrativo:2.3/3.3";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md#L190;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
CFG-01;Portal e API administrativa;configuracao-e-seguranca;PARCIAL_NAO_QUALIFICADO;"F-02;F-20;F-21;F-22";"hub/internal/orbita/handlers.go:53;hub/cmd/orbita/main.go:119;hub/internal/atlas/handlers.go:24;hub/deploy/docker-compose.yml:57;hub/admin-ui/src/App.tsx:7;hub/admin-ui/src/pages/ServicesPage.tsx:15;hub/admin-ui/src/api/atlasClient.ts:70;hub/admin-ui/src/App.tsx:9;hub/internal/libra/handlers.go:25;hub/admin-ui/src/pages/ServicesPage.tsx:81;hub/admin-ui/src/pages/ServicesPage.tsx:122;hub/admin-ui/src/pages/ProviderAccountsPage.tsx:97;hub/admin-ui/src/pages/CredentialBindingsPage.tsx:116";"R2-SEG-05;R2-CAT-08;R2-ADM-01;R2-ADM-02;R2-ADM-03;R2-ADM-12";"r2-01-identidade-e-isolamento;r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo";"R2-SEG-05-S01;R2-SEG-05-S02;R2-SEG-05-S03;R2-CAT-08-S01;R2-CAT-08-S02;R2-CAT-08-S03;R2-ADM-01-S01;R2-ADM-01-S02;R2-ADM-01-S03;R2-ADM-02-S01;R2-ADM-02-S02;R2-ADM-02-S03;R2-ADM-03-S01;R2-ADM-03-S02;R2-ADM-03-S03;R2-ADM-12-S01;R2-ADM-12-S02;R2-ADM-12-S03";"r2-01-identidade-e-isolamento:2.5/3.5;r2-04-catalogo-produtos-e-contratos:2.8/3.8;r2-05-console-administrativo:2.1/3.1;r2-05-console-administrativo:2.2/3.2;r2-05-console-administrativo:2.3/3.3;r2-05-console-administrativo:2.12/3.12";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md#L5;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
