id;prioridade;titulo;observado;risco;prova_exigida;evidencia;change;baseline
F-11;P1;SYNC, AUTO e UUID em erros não cumprem todo o contrato;"AUTO segue ASYNC sem espera limitada; não há elegibilidade SYNC por oferta/natureza do provedor; respostas 402/504 e alguns 500 após criar protocolo não o identificam. Prazo HTTP fixo pode divergir do SLA.";Cliente pode perder o identificador de operação já aceita ou receber comportamento diferente do modo contratado.;"SYNC elegível retorna final na conexão, nunca 202 implícito; AUTO espera seu orçamento; todo aceite tem UUIDv7 recuperável, inclusive erro posterior e repetição.";"hub/internal/orbita/handlers.go:168;hub/internal/orbita/handlers.go:187;hub/internal/orbita/handlers.go:242;hub/internal/platform/httpserver/httpserver.go:90";r2-02-execucao-duravel-e-resultados;"EXE-02;EXE-14;EXE-16;COM-06;CAT-11"
F-12;P0;Credencial dedicada resolvida não é a usada na chamada;"binding_id é gravado, mas Apply usa os campos de autenticação da conta de provedor; secret_ref do vínculo não chega ao transporte. Cache OAuth usa apenas providerAccountID.";Clientes dedicados na mesma conta podem executar com credencial compartilhada ou token de outro vínculo. Metadado correto não prova identidade externa correta.;"Provedor de ensaio identifica principal externo por cliente; A e B compartilham conta, mas nunca token/certificado; rotação não reutiliza token de versão anterior.";"hub/internal/cometa/executor.go:83;hub/internal/cometa/executor.go:142;hub/internal/providerauth/client.go:52";r2-03-integracoes-credenciais-e-pressao;"CFG-05;SEG-05;FIN-11"
F-13;P0;Autenticação do simulador não equivale a integração segura real;Basic usa a referência como senha, OAuth envia client_secret_ref e mTLS é representado por um header. Não há resolução de cofre nem certificado no transporte TLS.;A integração real pode falhar ou aparentar segurança sem autenticação criptográfica efetiva.;"Resolver referência apenas no workload autorizado; ensaiar OAuth e mTLS reais com certificado inválido/revogado e confirmar ausência de segredos em UI, eventos e logs.";"hub/internal/providerauth/client.go:57;hub/internal/providerauth/client.go:102;hub/internal/providerauth/client.go:117";r2-03-integracoes-credenciais-e-pressao;"SEG-01;SEG-05;ARQ-03;COM-02"
F-14;P1;Redis e broker bloqueiam inclusive reinício do caminho SYNC;"Cometa dá panic se Redis não responde; erro de Set do token aborta autenticação. Órbita só inicia HTTP após criar/localizar recursos no broker. Resolução de credencial consulta Atlas por operação.";Manutenção do cache, broker ou controle derruba operações que deveriam funcionar com projeções válidas e persistência disponível.;"Ensaiar Redis desligado, broker indisponível e Atlas parado com projeção válida, em processo aquecido e reiniciado; SYNC/GET mantêm o SLO do perfil qualificado.";"hub/cmd/cometa/main.go:43;hub/internal/providerauth/client.go:88;hub/cmd/orbita/main.go:54;hub/internal/atlasclient/client.go:131";r2-08-operacao-elastica-e-observavel;"DAD-09;DAD-10;OPE-13;OPE-14;ARQ-02"
F-15;P1;Polling sem autenticação, lease e orçamento configurável;"Polling usa HTTP Get sem perfil de autenticação; não verifica status HTTP/erro de decode adequadamente; agenda não reivindica lease. Processa sequencialmente e descarta o backoff calculado.";"Duas réplicas podem consultar a mesma operação; resposta de erro pode ser interpretada como final; um provedor lento atrasa os demais.";"Polling privado autenticado, claim com fencing, jitter e Retry-After; taxa e custo contabilizados; callback simultâneo decide um final e preserva ambas observações.";"hub/internal/cometa/poller.go:48;hub/internal/cometa/store.go:134";r2-03-integracoes-credenciais-e-pressao;"EXE-05;EXE-06;EXE-13;OPE-07"
F-16;P1;Não há amortecimento adaptativo nem isolamento de carga;"Workers fazem loops sequenciais compartilhados; não há controlador AIMD, bulkheads por tenant/conta, fairness ou limite global distribuído. Gateway tem quota local fixa.";"Carga ruidosa e provedor degradado podem monopolizar filas/pools; aumentar pods pode multiplicar a pressão externa.";"Controlador reduz pressão por 429/503/timeouts e recupera gradualmente; três réplicas obedecem um orçamento por domínio; tenant saudável mantém SLO no ensaio ruidoso.";"hub/internal/cometa/worker.go:34;hub/internal/cometa/poller.go:41;hub/internal/pulsar/worker.go:51;hub/deploy/kong/kong.yml:18";r2-03-integracoes-credenciais-e-pressao;"OPE-07;OPE-08;OPE-09;EXE-13;DAD-08"
F-17;P1;Catálogo publicado pode ser sobrescrito e não governa admissão;Upsert altera versão publicada, apesar do texto da UI. Schemas são gravados como objetos vazios e não expostos. Admissão valida contrato do tenant, sem catálogo/portfólio/rota elegível.;"Mudança retroativa pode alterar significado de pedidos; serviço inexistente ou não contratado pode alcançar um provedor indicado pelo cliente.";"Publicado é imutável, rascunho exige controle de concorrência; oferta inexistente/inativa/incompatível é negada antes de efeitos e snapshot fixa execução.";"hub/internal/atlas/store.go:48;hub/internal/atlas/handlers.go:42;hub/internal/orbita/handlers.go:157";r2-04-catalogo-produtos-e-contratos;"CAT-01;CAT-02;CAT-10;CFG-02"
F-18;P1;Produtos, DAG e contratos legados ainda não existem;Há um serviço por comando, com StepID igual ao protocolo. Não existem produto composto, dependências, política de parcialidade, compensação nem transformações por cliente. Importação usa services como produtos.;O núcleo de agregação/composição e interoperabilidade legada não é coberto pelo scaffold.;Produto A+B paralelo e C dependente, versão fixa, erro obrigatório/opcional, compensação e dois perfis de contrato são executados com resultados e custos reconciliáveis.;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";r2-04-catalogo-produtos-e-contratos;"CAT-03;CAT-04;CAT-05;CAT-07;CAT-08;CAT-09;COM-04;ARQ-01;CAT-06"
F-19;P1;Importação não ativa adaptadores e substitui configurações locais;"Script local apaga catálogo, vínculos, contratos e contas; publica todos os itens em três modos. Metadados importados não são consumidos pelo executor, que chama /v1/operations do simulador. Collection/environment externos não estão no clone.";Histórico pode perder contexto de controle e reinicialização não é reprodutível. Contagem de endpoints não equivale a integração homologada.;"Importação em staging com diff e IDs estáveis, sem delete global; credenciais sanitizadas; nenhum endpoint se publica sem mapeamento, contrato e teste real/sandbox homologado.";"hub/deploy/import_hiveplace_collection.sh:38;hub/deploy/import_hiveplace_collection.sh:58;hub/internal/cometa/executor.go:120;hub/migrations/control/0003_provider_api_catalog.sql:4";r2-04-catalogo-produtos-e-contratos;"CAT-01;CAT-02;COM-02;CFG-02;QUA-01"
F-20;P1;Console limitado a quatro formulários e histórico efêmero;Não há listagens persistentes/paginação, edição por detalhe com conflito, pesquisa global, navegação por URL nem cadastro completo de clientes e aplicações. As tabelas vivem no estado da aba.;"Operador não encontra nem administra a população real de clientes, ofertas e provedores; refresh elimina o histórico visual.";"Listagens do servidor, filtros paginados, URLs retomáveis e detail/edit auditáveis; refresh e troca de operador não dependem de dados da sessão anterior.";"hub/admin-ui/src/App.tsx:7;hub/admin-ui/src/pages/ServicesPage.tsx:15;hub/admin-ui/src/api/atlasClient.ts:70";r2-05-console-administrativo;"CFG-01;CAT-01;CFG-06"
F-21;P1;Faltam jornadas administrativas de produto, operação e financeiro;Sem produto/DAG, publicação/diff, contratos por cliente, protocolos/timeline, SLA bilateral, webhook/replay, pressão, ledger/fechamento, auditoria e onboarding de capacidade.;Evoluir só a aparência dos quatro formulários não atende o escopo operacional do Hub.;Executar as jornadas ADM-01 a ADM-12 documentadas, com APIs autoritativas, papéis, estados de erro, observabilidade e trilha de ações.;"hub/admin-ui/src/App.tsx:9;hub/internal/atlas/handlers.go:24;hub/internal/libra/handlers.go:25";r2-05-console-administrativo;"CFG-01;CFG-03;CFG-04;CFG-06;SEG-04;OPE-10;FIN-08"
F-22;P2;Formulários expõem detalhes técnicos e estados pouco guiados;"Modo, estado e parte de liquidação usam texto livre em campos com enum; SLA aceita zero no HTML, mas backend exige positivo. Mensagem de publicação aparece mesmo ao salvar published=false. Faltam alertas acessíveis de resultado e conflitos.";Operação manual fica propensa a erro e depende de conhecimento de endpoints/IDs. Acessibilidade não foi qualificada.;Controles de escolha e ajuda de negócio, validação coerente servidor/UI, foco e mensagens acessíveis, confirmação de impacto e estados draft/published distintos.;"hub/admin-ui/src/pages/ServicesPage.tsx:81;hub/admin-ui/src/pages/ServicesPage.tsx:122;hub/admin-ui/src/pages/ProviderAccountsPage.tsx:97;hub/admin-ui/src/pages/CredentialBindingsPage.tsx:116";r2-05-console-administrativo;"CFG-01;CFG-02;QUA-03"
F-23;P0;Custo e receita não usam contratos econômicos congelados;Custo é constante 0,20 e apenas no sucesso. Receita busca o contrato atual do tenant. Não há aquisição versionada, incidência por tentativa/poll/fetch, vigência nem settlement_party aplicado.;"Troca de tarifa antes de consumir evento muda cobrança passada; CLIENT_DIRECT pode gerar custo do Hub; produto composto teria custo incorreto.";"Snapshot de compra/venda no aceite; custos por unidade elegível e responsabilidade; mudança de preço, falha, parcialidade e resultado tardio reconciliam conforme exemplos.";"hub/internal/libra/consumers.go:17;hub/internal/libra/consumers.go:67;hub/internal/libra/consumers.go:101;hub/internal/atlas/store.go:240";r2-06-financeiro-auditavel;"FIN-01;FIN-02;FIN-03;FIN-04;FIN-05;FIN-10;FIN-11"
F-24;P0;Saldo estrito não contabiliza consumo já capturado;"Reserva soma somente estado RESERVED; CAPTURED sai do cálculo sem débito de saldo. Ausência de limite usa 1.000.000. Expiração do protocolo libera reserva sem checar incerteza externa.";Consumo sequencial pode ultrapassar teto e uma reserva pode ser liberada enquanto o provedor ainda produzir custo.;"Limite ausente nega oferta estrita; saldo considera liquidações, reservas e retenções incertas; captura repetida é idempotente; EXPIRED+UNKNOWN mantém retenção até reconciliação.";"hub/internal/libra/store.go:73;hub/internal/libra/store.go:100;hub/internal/libra/consumers.go:75";r2-06-financeiro-auditavel;"FIN-06;FIN-10;DAD-03"
F-25;P1;Ledger, precisão monetária e fechamento não estão implementados;"Valores trafegam em float64; economic_facts deduplica por protocolo/kind/meter. ledger_entries existe sem escritor. Sem partidas balanceadas, franquias/faixas, estornos, conciliação ou exportação fechada.";"Auditoria contábil não consegue explicar saldo; custos de passos distintos podem colidir e arredondamento não é governado.";"Decimal exato fim a fim; identidade econômica por obrigação; lotes balanceados por moeda; ajustes compensatórios e fechamento/exportação idempotente com completude comprovada.";"hub/internal/libra/store.go:27;hub/migrations/finance/0001_init.sql:19;hub/migrations/finance/0001_init.sql:44;hub/internal/libra/handlers.go:25";r2-06-financeiro-auditavel;"FIN-02;FIN-04;FIN-07;FIN-08;FIN-09"
F-26;P1;Webhook usa URL como identidade do segredo;"Segredo HMAC está em texto no banco e é resolvido por URL, não tenant/destino/versão. Dois tenants podem ter a mesma URL; rotação altera segredo de tentativas existentes. Não há assinatura com timestamp anti-replay.";Entrega pode ser assinada com chave de outro cliente ou perder verificabilidade após alteração de cadastro.;"Delivery fixa tenant, destination_id/version, key_id e representação; mesma URL para dois tenants não cruza chaves; timestamp e assinatura dos bytes são verificáveis.";"hub/internal/pulsar/store.go:64;hub/internal/pulsar/store.go:91;hub/internal/pulsar/worker.go:71;hub/migrations/core/0001_init.sql:101";r2-03-integracoes-credenciais-e-pressao;"EXE-08;SEG-02;COM-05;CFG-05"
F-27;P1;Webhook sem claim, recibos completos e política por cliente;"Workers consultam entregas devidas sem lease; timeout e maxAttempts fixos; envio é sequencial. Tentativas/recebimentos não têm registros completos. Corpo é buscado novamente e reserializado na Órbita.";Réplicas disputam entregas sem coordenação, clientes lentos atrasam outros e reentrega não tem diagnóstico operacional suficiente.;"Claims cercados, política versionada, recibos por tentativa, retry respeitando prazo e 429; reentrega só reutiliza resultado imutável e nunca chama provedor.";"hub/internal/pulsar/store.go:105;hub/internal/pulsar/worker.go:15;hub/internal/pulsar/worker.go:59";r2-03-integracoes-credenciais-e-pressao;"EXE-08;EXE-13;COM-05;CFG-03"
F-28;P1;Resultado final não é materializado como representação imutável completa;GET e webhook passam pelo mesmo respondWithProtocol, portanto não foi identificado wrapper diferente entre eles. Porém o wrapper é reconstruído, final_body.result_version fica zero e o teste compara somente o campo final_body, não todo o corpo nem HMAC.;Não há prova da identidade contratual completa, sobretudo após upgrade, perfis legados e rotação de destino.;"Materializar o corpo completo da versão negociada, inclusive wrapper v1 quando aplicável; status/versão coerentes; comparar bytes completos, hash e assinatura antes/depois de restart e upgrade.";"hub/internal/orbita/finalize.go:49;hub/internal/orbita/handlers.go:303;hub/test/e2e/e2e_test.go:163";r2-02-execucao-duravel-e-resultados;"COM-05;COM-04;DAD-04;CAT-09"
F-29;P1;Arquivos grandes não participam dos fluxos reais;"Cliente S3 é isolado; Put/Get usam buffers completos e EnsureBucket ignora qualquer erro. Não há upload direto, multipart, catálogo file_ref, checksum, quarentena ou autorização por objeto.";"Payload grande pode esgotar memória; sucesso do teste S3 não prova custódia/atomicidade de arquivo referenciado por protocolo.";"Upload direto e finalização validam proprietário/tamanho/checksum; referência imutável antes de sucesso; broker leva só metadados; falha de S3 afeta apenas operações que dele dependem.";"hub/internal/objectstore/objectstore.go:43;hub/internal/objectstore/objectstore.go:56;hub/internal/objectstore/objectstore.go:79;hub/internal/orbita/handlers.go:114";r2-07-objetos-dados-e-retencao;"DAD-05;SEG-02;COM-02;OPE-02"
F-30;P1;Persistência sem isolamento de papéis, expurgo e auditoria durável;Três bancos existem, mas o ambiente local usa o mesmo usuário hub. Não há RLS/papéis por domínio, trilha administrativa, políticas de retenção/tombstone ou restore coordenado no runtime.;Permissões excessivas e exclusão sem retenção de obrigações comprometem isolamento e futura recuperação.;"Papéis de aplicação/migração separados; RLS testada com reutilização de pool; expurgo protege obrigações; restore com egress bloqueado reconcilia core/finance/objetos antes de retomar efeitos.";"hub/deploy/postgres-init/01-init.sh:8;hub/deploy/docker-compose.yml:56;hub/migrations/core/0001_init.sql:7;hub/migrations/core/0001_init.sql:122";r2-07-objetos-dados-e-retencao;"DAD-01;DAD-06;DAD-07;SEG-03"
F-31;P1;Docker local não inclui toda a plataforma e não garante persistência na recriação;Compose contém backend, simuladores, Postgres, Redis, LocalStack, Kong e Swagger, mas não admin-ui, IdP, Prometheus, Loki, Alloy, Grafana ou Tempo. Não nomeia volume de dados PostgreSQL nem persistência LocalStack.;"Subida completa e recuperação após recriar containers não são reproduzíveis; não se deve assumir perda em todo restart, mas os volumes anônimos não garantem reanexação no novo projeto.";"Bootstrap documentado inicia todas as dependências e UI; volumes explícitos sobrevivem ao ciclo de recriação previsto; reset destrutivo é uma ação distinta de subir/atualizar.";"hub/deploy/docker-compose.yml:3;hub/deploy/docker-compose.yml:12;hub/deploy/docker-compose.yml:25;hub/admin-ui/README.md:1";r2-08-operacao-elastica-e-observavel;"OPE-04;OPE-14;QUA-01;DAD-07"
F-32;P1;Kubernetes é referência incompleta, sem os cinco ambientes;"Manifests têm probes, recursos, réplicas, PDB e HPA em Atlas/Órbita. KEDA está comentado; faltam overlays local-kind/dev/hom/ppd/prd, imagens resolvidas, serviços auxiliares, identidade e rede. Não há kind config.";Não é uma instalação operacional, e declarar três réplicas não prova HA nem escala de workers.;"Renderizar e subir os overlays em kind apropriado; ppd/prd qualificados em topologia real; um scaler por workload e dependências/probes efetivamente verificadas.";"hub/deploy/k8s/README.md:3;hub/deploy/k8s/kustomization.yaml:16;hub/deploy/k8s/cometa.yaml:8;hub/deploy/k8s/orbita.yaml:86";r2-08-operacao-elastica-e-observavel;"OPE-04;OPE-05;OPE-12;ARQ-06"
F-33;P1;Autoscaling de células e reconciliação de IaC não fecham o circuito;"Placement não é usado pelo roteamento. Nomes de filas/tópicos são globais, embora bancos sejam por célula. Crossplane substitui assumeRolePolicy inteiro por ARN via fmt %s; não é JSON de trust policy. Não há controlador de onboarding/headroom ou instalação de Karpenter.";"Células não são isoladas de ponta a ponta; adicionar clientes não aciona provisionamento seguro automático. O exemplo Crossplane não é aplicável como está.";"Nova capacidade nasce por política, é homologada e só então recebe placement; histórico mantém célula de origem; recursos têm dono único Terraform/Crossplane e trust policy válida com audience/subject.";"hub/migrations/control/0001_init.sql:62;hub/deploy/terraform/main.tf:517;hub/deploy/terraform/crossplane/composition.yaml:272;hub/deploy/terraform/main.tf:736";r2-08-operacao-elastica-e-observavel;"CFG-06;DAD-11;ARQ-06;OPE-12"
F-34;P1;Clientes AWS e bootstrap são fixos ao ambiente local;"SDK usa credenciais estáticas local/local em qualquer ambiente; aplicações criam recursos e aplicam política permissiva ao iniciar. Não há workload IAM configurado nos Deployments.";Trocar o endpoint para AWS não é migração suficiente. Aplicação não deve reescrever políticas que IaC gerencia.;"Modo local explicitamente separado; remoto usa identidade de workload e URLs/ARNs provisionados, sem CreateQueue/SetQueueAttributes no runtime; testes negam credencial local em ambiente remoto.";"hub/internal/queue/queue.go:58;hub/internal/queue/queue.go:126;hub/internal/objectstore/objectstore.go:27;hub/cmd/orbita/main.go:74";r2-08-operacao-elastica-e-observavel;"ARQ-03;ARQ-05;SEG-01;OPE-04"
F-35;P1;Probes não acompanham capacidades e não há drenagem graciosa;"Há três endpoints; readiness/startup apenas pingam banco, liveness é independente. Código não captura SIGTERM nem chama Shutdown; pods declaram terminationGracePeriod sem rotina de drenagem.";Readiness pode declarar pronto sem configuração válida ou derrubar consulta final por falha exclusiva de writer. Atualização interrompe chamadas e workers em fronteiras perigosas.;"Separar papéis de leitura/admissão/workers com probes próprias; drenar HTTP/claims em SIGTERM; persistir incerteza e permitir retomada cercada.";"hub/internal/platform/httpserver/httpserver.go:86;hub/cmd/orbita/main.go:115;hub/cmd/cometa/main.go:52;hub/deploy/k8s/orbita.yaml:82";r2-08-operacao-elastica-e-observavel;"OPE-05;OPE-13;OPE-14;DAD-10"
F-36;P1;Observabilidade não mede SLA, pressão nem custódia;"Contador HTTP manual e logs com IDs existem; não há histogramas, spans OTel, scrape/painéis/alertas, métricas de lag/UNKNOWN, dual SLA ou runbooks implantados.";Operações não consegue aferir contrato, detectar aceite sem despacho ou distinguir lentidão do Hub e do provedor.;Dashboards e consultas por coorte/contrato com denominadores definidos, exemplares de trace e alertas exercitados para atraso, erro de custódia, pressão, DLQ e saldo.;"hub/internal/platform/httpserver/metrics.go:16;hub/internal/platform/httpserver/httpserver.go:115;hub/internal/dispatch/contract.go:35;hub/deploy/docker-compose.yml:3";r2-08-operacao-elastica-e-observavel;"OPE-03;OPE-06;OPE-10;CFG-03"
F-37;P1;Ensaios de HA, isolamento e recuperação não foram demonstrados;Evidências locais e manifests não demonstram perda de zona/região, autoscaling integral, manutenção sob carga ou restore sem reexecutar efeitos. Nenhum perfil crítico está qualificado.;Promessas de ausência de perda, indisponibilidade imperceptível e uso crítico permanecem sem evidência suficiente.;"Registrar resultados e limites dos ensaios por perfil; impedir ativação de SLA/criticidade que não passou gates; não apresentar RTO/RPO de referência como medidos.";"hub/deploy/k8s/README.md:106;hub/evidence/EVIDENCE.md:1;hub/test/e2e/e2e_test.go:9";r2-09-qualificacao-e-rastreabilidade;"OPE-01;OPE-03;OPE-11;OPE-15;QUA-06;DEC-02"
F-38;P1;Cobertura existente não prova as garantias que os nomes dos testes sugerem;"Sucesso SYNC verifica apenas status; igualdade verifica campo interno; limite excedido só verifica uma reserva permitida com limite default. Só Atlas e UUID têm testes unitários. Seed necessário aos E2E foi desabilitado.";Suíte verde pode manter os bugs de conteúdo, saldo, segurança e replay. Ambiente limpo não tem as fixtures históricas esperadas.;Testes com oráculos de payload/identidade/saldo/custódia, concorrência e falhas, fixtures isoladas versionadas e pipeline que publica evidencia por SHA.;"hub/test/e2e/e2e_test.go:78;hub/test/e2e/e2e_test.go:152;hub/test/e2e/e2e_test.go:230;hub/internal/atlas/handlers_test.go:5";r2-09-qualificacao-e-rastreabilidade;"QUA-01;QUA-02;QUA-03;QUA-04;QUA-05;QUA-06"
F-39;P2;Rastreabilidade histórica contém conclusões que não refletem o snapshot;"TRACEABILITY afirma cache ausente, SEG-05 implementado e prova bit-a-bit completa; código atual tem Redis obrigatório, autenticação simulada e teste parcial. Tasks v4 permanecem abertas apesar de outros relatórios de conclusão.";"Próxima rodada pode herdar falso pronto. Não foi encontrada árvore canônica openspec/specs nem configuração de workflow; baseline vive em uma change aberta.";"Separar alvo normativo, entrega e prova; manter 98 IDs; atualizar status só com evidência; definir reconciliação de baseline sem arquivar a v4 inteira como implementada.";"openspec/changes/hub-interoperabilidade-v4/TRACEABILITY.md:68;openspec/changes/hub-interoperabilidade-v4/TRACEABILITY.md:84;openspec/changes/hub-interoperabilidade-v4/TRACEABILITY.md:138;openspec/changes/hub-interoperabilidade-v4/tasks.md:1";r2-09-qualificacao-e-rastreabilidade;"DEC-03;DEC-04;DEC-05;QUA-03;QUA-04"
F-40;P2;Versões e contratos de ferramenta carecem de qualificação operacional;Há versões e lockfiles, mas sem matriz de suporte, SBOM/scan automatizado, compatibilidade testada de controllers ou contratos gerados/validados contra consumidores. Não se inferiu vulnerabilidade apenas pela idade.;"Atualizações podem quebrar adapters, manifests e UI; versões de exemplo podem ser confundidas com versões aprovadas.";"Fixar toolchain/imagens por versão/digest e verificar suporte/licença no momento da promoção; contract tests e diff de OpenAPI/AsyncAPI acompanham mudanças.";"hub/go.mod:3;hub/deploy/Dockerfile:5;hub/deploy/terraform/variables.tf:121;hub/admin-ui/package.json:6;hub/api/asyncapi.yaml:83";r2-09-qualificacao-e-rastreabilidade;"ARQ-04;ARQ-05;COM-04;QUA-04"
