cenario;requisito;change;nome;given;when;then;status;tarefa_implementacao;tarefa_prova
R2-EXE-07-S03;R2-EXE-07;r2-02-execucao-duravel-e-resultados;AUTO rápido e lento;oferta AUTO tem espera configurada e intenção QUEUED;uma execução conclui dentro da espera e outra depois;"a primeira retorna final; a segunda 202 com UUID; ambas têm um único despacho e deadline inalterado";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-EXE-07-S04;R2-EXE-07;r2-02-execucao-duravel-e-resultados;Cliente desconecta;efeito externo foi enviado em SYNC;conexão do cliente é encerrada;"custódia/reconciliação continua com contexto interno limitado; retry e GET recuperam a mesma identidade";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-EXE-08-S01;R2-EXE-08;r2-02-execucao-duravel-e-resultados;Igualdade completa;protocolo possui representação final v1 ou perfil legado;são obtidos POST final, GET e duas tentativas de webhook;corpos completos são idênticos ao hash persistido, inclusive wrapper e result_version, e HMAC verifica os mesmos bytes;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-EXE-08-S02;R2-EXE-08;r2-02-execucao-duravel-e-resultados;Upgrade e mudança de contrato;um final foi materializado na versão antiga;software e contrato são atualizados;"consulta e reentrega desse protocolo preservam bytes antigos; novos protocolos usam o perfil novo";NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-EXE-08-S03;R2-EXE-08;r2-02-execucao-duravel-e-resultados;Resultado pendente ou expirado;protocolo ainda está em andamento ou já EXPIRED;cliente autorizado consulta;"recebe 200 com estado contratado local; consulta não faz polling no provedor nem mascara atraso como sucesso";NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-EXE-09-S01;R2-EXE-09;r2-02-execucao-duravel-e-resultados;Protocolo órfão de despacho;aceite existe e nenhum executor o recebeu;scanner verifica idade e intenção;recupera mesma obrigação se elegível ou encerra contratualmente, com diagnóstico da causa;NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-EXE-09-S02;R2-EXE-09;r2-02-execucao-duravel-e-resultados;Parceiro sem consulta idempotente;operação ficou UNKNOWN após envio;recuperação não consegue demonstrar ausência de efeito;"mantém pendência explícita e acionável; não reenvia nem libera hold por suposição";NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-EXE-09-S03;R2-EXE-09;r2-02-execucao-duravel-e-resultados;Callback antes da associação;recibo válido chega antes de provider_request_id ser associado;associação torna-se durável depois;recibo é reconciliado sem perda ou segunda operação;NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-INT-01-S01;R2-INT-01;r2-03-integracoes-credenciais-e-pressao;REST real distinto do simulador;serviço homologado requer GET /consulta/{id} ou POST /analise com corpo próprio;cliente usa a oferta;conector envia método/path/corpo homologados e valida resposta, sem chamar /v1/operations do simulador;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-INT-01-S02;R2-INT-01;r2-03-integracoes-credenciais-e-pressao;Capacidade ausente;catálogo importado não possui adapter ou contrato validado;operador tenta publicar oferta;validação lista bloqueios e não anuncia o endpoint como integração pronta;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-INT-01-S03;R2-INT-01;r2-03-integracoes-credenciais-e-pressao;Protocolo especializado;perfil exige SOAP/XML, SFTP ou gRPC;não existe adapter homologado para ele;"capacidade fica não disponível; suporte futuro exige adapter e ensaio específico, sem simulação silenciosa via REST";NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-INT-02-S01;R2-INT-02;r2-03-integracoes-credenciais-e-pressao;Dois clientes na mesma conta;A e B têm vínculos dedicados e credenciais diferentes;executam simultaneamente na mesma provider_account;provedor identifica os principais corretos e nenhum token/certificado cruza clientes;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-INT-02-S02;R2-INT-02;r2-03-integracoes-credenciais-e-pressao;Vínculo dedicado indisponível;cliente exige modo dedicado e vínculo está revogado;operação tenta iniciar;"é recusada antes do submit; não usa credencial de conta compartilhada";NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-INT-02-S03;R2-INT-02;r2-03-integracoes-credenciais-e-pressao;Rotação e cache;token existe para versão 1 e binding passa à versão 2;nova tentativa é autorizada pela política de rotação;"cache antigo não é reutilizado indevidamente; operação já aceita conserva conta, snapshot e pagador";NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-INT-03-S01;R2-INT-03;r2-03-integracoes-credenciais-e-pressao;mTLS comprovado;provedor exige certificado cliente válido;workload usa perfil homologado;"handshake prova certificado correto; certificado ausente/inválido é rejeitado, mesmo com header de referência";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-INT-03-S02;R2-INT-03;r2-03-integracoes-credenciais-e-pressao;Redis ausente;cofre ou L1 ainda oferece material válido e provedor de identidade está elegível;Redis cai ou Cometa reinicia sem Redis;operação segue sem consultar Redis para tokens e sem panic por cache;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-INT-03-S03;R2-INT-03;r2-03-integracoes-credenciais-e-pressao;Cofre indisponível;material L1 está expirado ou revogado;nova tentativa precisa de segredo;"operação afetada aguarda/recusa dentro da política sem credencial inválida; outras contas elegíveis continuam";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-INT-04-S01;R2-INT-04;r2-03-integracoes-credenciais-e-pressao;Ativação de polling;provedor ASYNC homologado possui status endpoint;operador habilita polling por nova versão de configuração;novas operações recebem agenda retomável e consultas autenticadas, sem deploy de código para o caso suportado;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-INT-04-S02;R2-INT-04;r2-03-integracoes-credenciais-e-pressao;Resposta pendente saudável;status 200 indica PENDING e callback não chegou;cliente atinge deadline;"protocolo expira conforme contrato; polling saudável não renova o SLA";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-INT-04-S03;R2-INT-04;r2-03-integracoes-credenciais-e-pressao;Polling e callback concorrentes;ambos observam final da mesma operação;três réplicas processam recibos duplicados e conflitantes;"uma transição vence conforme identidade/versão/prazo; demais recibos ficam classificados e divergência gera diagnóstico";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-INT-04-S04;R2-INT-04;r2-03-integracoes-credenciais-e-pressao;Falha de recibo;callback autenticado chegou;writer não confirma a custódia;"ACK 2xx não é emitido; o parceiro pode retransmitir conforme contrato";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-INT-05-S01;R2-INT-05;r2-03-integracoes-credenciais-e-pressao;TTL zero;política tem retry_ttl_seconds=0;ocorre primeira indisponibilidade transitória comprovadamente sem efeito;não se agenda novo submit e o encerramento segue contrato;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-INT-05-S02;R2-INT-05;r2-03-integracoes-credenciais-e-pressao;Reinício no meio da janela;primeiro erro fixou retry_until;pod reinicia ou rota equivalente muda;prazo original é preservado e nenhuma tentativa começa sem orçamento restante;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-INT-05-S03;R2-INT-05;r2-03-integracoes-credenciais-e-pressao;429 com espera incompatível;Retry-After é maior que a janela restante;controlador considera nova tentativa;"não viola o pedido de espera nem ultrapassa prazo para tentar; encerra ou reconcilia conforme efeito";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-INT-05-S04;R2-INT-05;r2-03-integracoes-credenciais-e-pressao;Timeout após envio;não é possível provar se provedor executou;há TTL ainda disponível;somente consulta/reconciliação segura é permitida antes de autorizar nova execução;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-INT-06-S01;R2-INT-06;r2-03-integracoes-credenciais-e-pressao;Provedor degrada;taxa está estável e há demanda;aumentam timeouts/503 e p95 de resposta;controlador diminui admissão externa, preserva piso de reconciliação e expõe motivo/limite/medidas;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-INT-06-S02;R2-INT-06;r2-03-integracoes-credenciais-e-pressao;Provedor escala;erros cessam, latência recupera e há demanda;passam janelas de estabilidade configuradas;a taxa sobe gradualmente por sondagem até capacidade segura/teto, sem ficar presa ao limite antigo;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-INT-06-S03;R2-INT-06;r2-03-integracoes-credenciais-e-pressao;Três réplicas e partição;mesmo domínio é usado por três executores;coordenador de quota fica indisponível;"soma das permissões ainda válidas não excede orçamento; sem lease válido não há novos envios e outras contas isoladas seguem";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-INT-06-S04;R2-INT-06;r2-03-integracoes-credenciais-e-pressao;Ruído de cliente;A excede dez vezes sua quota e B mantém carga contratada;A usa provedor degradado por 15 minutos;"B mantém SLO do perfil e reservas; A recebe contenção/recusa explícita em vez de consumir capacidade de B";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-INT-07-S01;R2-INT-07;r2-03-integracoes-credenciais-e-pressao;Mesma URL em dois tenants;A e B usam mesma URL com chaves distintas;seus resultados são entregues;Pulsar seleciona chave por tenant/destino/versão, nunca por URL isolada;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-INT-07-S02;R2-INT-07;r2-03-integracoes-credenciais-e-pressao;Rotação e replay;entrega antiga falhou e destino foi alterado;operador autorizado pede reentrega;"ação explicita a versão/chave elegível e conserva resultado original; não redireciona silenciosamente evento histórico";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-INT-07-S03;R2-INT-07;r2-03-integracoes-credenciais-e-pressao;Destino lento ou indisponível;webhook de A retorna 429/timeout;worker agenda nova tentativa e B também tem entrega;"lease e retry respeitam política de A; B não fica bloqueado; esgotamento fica visível sem perder final local";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-INT-07-S04;R2-INT-07;r2-03-integracoes-credenciais-e-pressao;Duplicata no receptor;primeiro recibo HTTP se perdeu após o cliente receber;Pulsar retransmite;event_id/result_version identificam o mesmo final e assinatura/timestamp são verificáveis;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-INT-08-S01;R2-INT-08;r2-03-integracoes-credenciais-e-pressao;Violação apenas do provedor;prazo do provedor venceu e do cliente ainda não;final chega sob MONITOR_ONLY;registra quebra do provedor e pode concluir cliente no prazo, sem ocultar a violação;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-INT-08-S02;R2-INT-08;r2-03-integracoes-credenciais-e-pressao;Rejeição contratada;mesmo atraso ocorre sob REJECT_LATE;final chega;"passo não vira sucesso do produto; recibo e custo elegível permanecem";NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-INT-08-S03;R2-INT-08;r2-03-integracoes-credenciais-e-pressao;Coorte ainda aberta;há protocolos rápidos, lentos e ainda no prazo;operador consulta cumprimento do SLA;painel mostra elegíveis, abertos, cumpridos, vencidos e exclusões, sem contar abertos como sucesso;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-CAT-01-S01;R2-CAT-01;r2-04-catalogo-produtos-e-contratos;Publicação válida;rascunho completo passou validações e aprovação exigida;editor publica;versão/hash e autor ficam registrados e projeções passam a indicar a publicação;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-CAT-01-S02;R2-CAT-01;r2-04-catalogo-produtos-e-contratos;Sobrescrita de publicado;versão publicada já tem consumidores;POST ou edição tenta alterar seu conteúdo;"servidor retorna conflito e orienta nova versão; UI não anuncia alteração como publicada";NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-CAT-01-S03;R2-CAT-01;r2-04-catalogo-produtos-e-contratos;Edição concorrente;dois operadores abriram mesma revisão;o segundo salva após o primeiro;servidor detecta versão desatualizada e oferece diff/recarregamento sem sobrescrever trabalho alheio;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-CAT-02-S01;R2-CAT-02;r2-04-catalogo-produtos-e-contratos;Seleção elegível;oferta tem dois provedores equivalentes homologados;entra pedido de cliente autorizado;rota seleciona conta elegível com motivo e versão registrados;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-CAT-02-S02;R2-CAT-02;r2-04-catalogo-produtos-e-contratos;Conta escolhida pelo cliente;cliente fornece conta fora da sua oferta;admissão avalia o pedido;nega antes do efeito, mesmo que a conta exista e possua credencial compartilhada;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-CAT-02-S03;R2-CAT-02;r2-04-catalogo-produtos-e-contratos;Sem combinação de SLA viável;SLA, modalidade, credencial ou capacidade contradiz perfil homologado;operador tenta publicar oferta;recebe bloqueios específicos e oferta não é ativada;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-CAT-03-S01;R2-CAT-03;r2-04-catalogo-produtos-e-contratos;A e B independentes;produto agrega A e B sem dependência;operação é executada sob capacidade reservada;traces mostram sobreposição e final combina respostas reais dos dois passos;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-CAT-03-S02;R2-CAT-03;r2-04-catalogo-produtos-e-contratos;Passo opcional falha;B é opcional e contrato autoriza parcialidade;A conclui e B falha;final PARTIALLY_SUCCEEDED descreve falha conforme perfil e cobra somente marcos elegíveis;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-CAT-03-S03;R2-CAT-03;r2-04-catalogo-produtos-e-contratos;Fan-out abusivo;produto excede fan-out/concorrência autorizado;é validado ou admitido;configuração/pedido é recusado antes de exceder recursos de outros clientes;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-CAT-04-S01;R2-CAT-04;r2-04-catalogo-produtos-e-contratos;Dependência C;A e B rodam em paralelo e C depende de ambos;A termina antes de B;"C só inicia após pré-condições duráveis de A e B; reinício retoma o grafo";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-CAT-04-S02;R2-CAT-04;r2-04-catalogo-produtos-e-contratos;Ciclo ou referência inválida;rascunho liga A a B e B a A ou usa saída inexistente;publicação valida o grafo;publicação é bloqueada com os passos envolvidos;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-CAT-04-S03;R2-CAT-04;r2-04-catalogo-produtos-e-contratos;Compensação incompleta;A produziu efeito e passo obrigatório posterior falha;compensação de A falha ou é impossível;protocolo informa estado contratado e gera obrigação de reconciliação, sem declarar rollback integral fictício;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-CAT-05-S01;R2-CAT-05;r2-04-catalogo-produtos-e-contratos;Dois contratos legados;A usa nomes/campos diferentes de B para o mesmo produto;ambos executam pedidos equivalentes;"normalização mantém semântica e cada cliente recebe seu perfil; GET e webhook do cliente têm mesmo corpo final";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-CAT-05-S02;R2-CAT-05;r2-04-catalogo-produtos-e-contratos;Transformação inválida;campo obrigatório não pode ser produzido ou expansão excede limite;simulação/publicação ou execução valida contrato;erro é explícito e não expõe payload de outro cliente nem produz sucesso inválido;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-CAT-05-S03;R2-CAT-05;r2-04-catalogo-produtos-e-contratos;Upgrade de schema;perfil v2 remove campo usado em v1;publicação avalia compatibilidade;"mudança incompatível exige nova versão e migração; protocolos v1 conservam seu resultado";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-CAT-06-S01;R2-CAT-06;r2-04-catalogo-produtos-e-contratos;Contrato muda durante processamento;pedido foi aceito com compra/venda e perfil v1;operador publica v2 antes do final;execução, resultado e financeiro usam snapshot v1;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-CAT-06-S02;R2-CAT-06;r2-04-catalogo-produtos-e-contratos;Atlas parado;workload possui projeção válida e cache limitado;chegam novos pedidos elegíveis;"não consulta Atlas a cada pedido e opera dentro da validade; itens não conhecidos não são inventados";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-CAT-06-S03;R2-CAT-06;r2-04-catalogo-produtos-e-contratos;Revogação de segurança;binding ou permissão é revogado;há snapshot histórico e trabalho pendente;"política de revogação de segurança prevalece para novos acessos ao segredo; preserva histórico sem reutilizar credencial proibida";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-CAT-07-S01;R2-CAT-07;r2-04-catalogo-produtos-e-contratos;Reimportação idempotente;mesmo arquivo sanitizado já foi importado;operador reimporta;"não duplica identidade nem apaga cadastros; mostra itens iguais, alterados e novos";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-CAT-07-S02;R2-CAT-07;r2-04-catalogo-produtos-e-contratos;Falha no meio do lote;lote contém erro ou execução interrompe;importação é retomada;catálogo publicado anterior permanece íntegro e lote incompleto não se apresenta como ativado;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-CAT-07-S03;R2-CAT-07;r2-04-catalogo-produtos-e-contratos;Credenciais na collection;arquivo contém tokens, headers e environments sensíveis;preview é solicitado;"valores secretos não aparecem no lote, logs ou UI; somente referências e metadados permitidos são conservados";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-CAT-08-S01;R2-CAT-08;r2-04-catalogo-produtos-e-contratos;Milhares de registros;operador tem escopo sobre catálogo grande;filtra por estado/provedor/cliente com cursor;obtém página limitada, ordenação estável e contexto de autorização verificado no servidor;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
