requisito_id;titulo;arquivo;responsavel;prioridade;cenario_id;cenario;resultado_esperado;evidencia_exigida;status;revisao_documental
CAT-11;Crescimento, modalidade e elegibilidade de credencial;01_DOMINIO_E_PORTFOLIO.md;Produto / Atlas;OBRIGATORIO;CT-CAT-11;Ativar cliente em oferta existente e provedor compatível, com modos e binding diferentes.;Configuração validada, capacidade automática e modalidade/conta elegíveis antes de liberar tráfego.;Registro de onboarding, snapshot de contrato, capacidade e chamadas sintéticas.;NÃO EXECUTADO;NOVO V4
ARQ-01;Fronteiras;02_ARQUITETURA_E_COMUNICACAO.md;Arquitetura;OBRIGATORIO;CT-ARQ-01;Revisar autoridade lógica e dados por componente/célula.;Um proprietário por agregado, sem escrita cruzada e sem multiplicar autoridade na migração.;Matriz de responsabilidades, células e permissões.;NÃO EXECUTADO;REVISADO V4
ARQ-02;Topologia de referência;02_ARQUITETURA_E_COMUNICACAO.md;Arquitetura;OBRIGATORIO;CT-ARQ-02;Percorrer SYNC direto e ASYNC em célula, com broker indisponível no primeiro.;"SYNC conserva commits sem aguardar fila; ASYNC e fatos seguem canais duráveis; GET/webhook usam a mesma representação.";Diagrama confrontado com traces, commits, eventos e hashes do resultado.;NÃO EXECUTADO;REVISADO V4
ARQ-03;Escolha tecnológica;02_ARQUITETURA_E_COMUNICACAO.md;Arquitetura;OBRIGATORIO;CT-ARQ-03;Avaliar stack e necessidade de ambiente sem AWS.;"Referência registrada; mudança de stack exige decisão e requalificação.";ADR e inventário de dependências/licenças.;NÃO EXECUTADO;REVISADO V4
COM-01;Comunicação interna definida;02_ARQUITETURA_E_COMUNICACAO.md;Arquitetura / Engenharia;OBRIGATORIO;CT-COM-01;"Executar SYNC e ASYNC com Atlas fora e projeção ainda válida; cortar broker.";"SYNC usa HTTPS interno direto e estado durável; ASYNC usa fila ou restrição definida; sem Atlas por pedido.";Trace por modalidade e prova de validade/commit.;NÃO EXECUTADO;REVISADO V4
COM-02;Integração de clientes e provedores;02_ARQUITETURA_E_COMUNICACAO.md;Integrações;OBRIGATORIO;CT-COM-02;Ativar protocolo não suportado pelo adaptador.;Impedir publicação até contrato e capacidade homologados.;Matriz de capacidades e falha de validação.;NÃO EXECUTADO;REVISADO V4
COM-03;Mensagens e idempotência;02_ARQUITETURA_E_COMUNICACAO.md;Engenharia;OBRIGATORIO;CT-COM-03;Repetir mensagem após crash entre commit e ack.;"Uma alteração local; intenção durável retomada, sem nova unidade econômica.";Inbox/outbox, estado e contagem econômica.;NÃO EXECUTADO;REVISADO V4
COM-04;Evolução de contratos;02_ARQUITETURA_E_COMUNICACAO.md;Integrações / QA;OBRIGATORIO;CT-COM-04;Entregar mensagem com versão incompatível.;"Quarentena e alerta; não descartar nem interpretar arbitrariamente.";Registro da mensagem, alerta e resultado do teste de contrato.;NÃO EXECUTADO;REVISADO V4
ARQ-04;Linguagem e tecnologia por aplicação;02_ARQUITETURA_E_COMUNICACAO.md;Arquitetura;OBRIGATORIO;CT-ARQ-04;Revisar linguagem/runtime de cada aplicação e interface.;"Go nas APIs/workers e TypeScript/React no portal com trade-offs; ferramentas não reescritas.";Matriz de tecnologias, razões e alternativas aprovadas.;NÃO EXECUTADO;REVISADO V4
ARQ-05;Razões das dependências e revisão de alternativas;02_ARQUITETURA_E_COMUNICACAO.md;Arquitetura;OBRIGATORIO;CT-ARQ-05;Revisar dependência sem responsável, versão/licença ou justificativa.;Identificar lacuna antes de produção e registrar razão/alternativa de cada escolha.;Inventário de dependências e ADR.;NÃO EXECUTADO;REVISADO V4
COM-05;Mesmo contrato em GET e webhook;02_ARQUITETURA_E_COMUNICACAO.md;Órbita / Pulsar / Integrações;OBRIGATORIO;CT-COM-05;"Finalizar sucesso e SLA_EXCEEDED em dois perfis legados; repetir GET/webhook e mudar configuração.";"Mesma representação, schema, media type e hash por protocolo/versão; somente transporte varia.";Corpos capturados, hashes e contratos de ambos os canais.;NÃO EXECUTADO;REVISADO V4
ARQ-06;Tecnologias para expansão e continuidade;02_ARQUITETURA_E_COMUNICACAO.md;Arquitetura / Plataforma;OBRIGATORIO;CT-ARQ-06;Revisar escala por camada, propriedade de recursos e falha dos controladores.;"Papéis de HPA/KEDA/Karpenter/Crossplane distintos; recursos não têm dois donos; células prontas continuam.";Decisões, inventário de recursos/controladores e ensaio do plano de gestão.;NÃO EXECUTADO;NOVO V4
COM-06;Contrato do despacho direto;02_ARQUITETURA_E_COMUNICACAO.md;Órbita / Cometa;BLOQUEADOR;CT-COM-06;"Perder resposta direta do Cometa e repetir command_id; entregar também seu evento final.";Operação existente recuperada, nenhuma nova unidade econômica ou efeito inseguro.;Comando, operação, tentativa, epoch, resposta e evento correlacionados.;NÃO EXECUTADO;NOVO V4
DAD-01;Bancos e propriedade;03_PERSISTENCIA_E_DADOS.md;Arquitetura / Dados;BLOQUEADOR;CT-DAD-01;Tentar escrita cruzada e inspecionar bancos control/core/finance nas células ppd/prd.;"Acesso negado; isolamento físico conforme classe e financeiro com única autoridade por contrato.";Permissões negativas, topologia e mapping tenant/célula.;NÃO EXECUTADO;REVISADO V4
DAD-02;Modelo lógico mínimo;03_PERSISTENCIA_E_DADOS.md;Dados / Engenharia;BLOQUEADOR;CT-DAD-02;Misturar contas/ambientes e tentar vincular credencial dedicada sem tenant ou intenção duplicada.;Integridade de vínculo, operação, tenant e despacho preservada.;Modelo validado, constraints e testes negativos de associação.;NÃO EXECUTADO;REVISADO V4
DAD-03;Transações e referências;03_PERSISTENCIA_E_DADOS.md;Engenharia;BLOQUEADOR;CT-DAD-03;Falhar commit da conclusão depois da preparação local.;Estado, resultado e evento são confirmados juntos ou nenhum deles.;Evidência transacional e consulta após recuperação.;NÃO EXECUTADO;REVISADO V4
DAD-04;Resultado como fonte de consulta;03_PERSISTENCIA_E_DADOS.md;Órbita;BLOQUEADOR;CT-DAD-04;"Resultado final ou EXPIRED presente; provedor bloqueado e múltiplos GETs.";"Representação do hub sem chamadas externas; erro final não substituído por retorno tardio.";Corpo/hash, histórico e contador externo.;NÃO EXECUTADO;REVISADO V4
DAD-05;Arquivos e atomicidade com objetos;03_PERSISTENCIA_E_DADOS.md;Órbita / Cometa;BLOQUEADOR;CT-DAD-05;"Upload com checksum incorreto; falha entre objeto e commit.";"Objeto inválido não executa; órfão é reconciliado sem falso sucesso.";Metadados, resultado de validação e inventário de objetos.;NÃO EXECUTADO;REVISADO V4
DAD-06;Retenção e expurgo;03_PERSISTENCIA_E_DADOS.md;responsáveis pelos dados / Segurança;BLOQUEADOR;CT-DAD-06;Vencer prazo de payload e manter entrega/execução ainda ativa.;"Aplicar bloqueio de expurgo; após liberação, 410 sem reconsulta externa.";Política, trilha de expurgo e contador externo.;NÃO EXECUTADO;REVISADO V4
DAD-07;Isolamento, recuperação e auditoria;03_PERSISTENCIA_E_DADOS.md;Dados / SRE;BLOQUEADOR;CT-DAD-07;Reutilizar conexão entre tenants e restaurar banco/objetos de tempos distintos.;"Sem vazamento; saída bloqueada até reconciliação do ponto recuperado.";Testes RLS e relatório de restore.;NÃO EXECUTADO;REVISADO V4
DAD-08;Persistência adicional de contrato, prazo e pressão;03_PERSISTENCIA_E_DADOS.md;Dados / Engenharia;BLOQUEADOR;CT-DAD-08;Reiniciar/migrar worker, receber resultado tardio e consultar histórico administrativo.;"Deadlines e versões preservados; recibo tardio e decisão adaptativa auditáveis.";Registros de prazo, representação, controle e concessão administrativa.;NÃO EXECUTADO;REVISADO V4
DAD-09;Dependência mínima de escrita, sem custódia fictícia;03_PERSISTENCIA_E_DADOS.md;Dados / Engenharia;BLOQUEADOR;CT-DAD-09;Indisponibilizar writer antes do aceite, após preparação e após efeito externo.;"Sem falso aceite/final; fronteiras mínimas duráveis conservadas; commit incerto recuperado por chave.";Registros de commit, efeitos externos contados e reconciliação independente.;NÃO EXECUTADO;NOVO V4
DAD-10;Cache dispensável e continuidade de leitura;03_PERSISTENCIA_E_DADOS.md;Engenharia / Dados / Segurança;BLOQUEADOR;CT-DAD-10;"Cortar Redis e writer em cenários distintos; usar réplica atrasada e final revisável antigo.";"Bypass mantém SLO qualificado; final adequado pode ser lido; ausência/versão velha não vira resposta autoritativa.";Percentis cache frio, decisão de fonte/validade e testes de autorização.;NÃO EXECUTADO;NOVO V4
DAD-11;Dados, placement e crescimento de células;03_PERSISTENCIA_E_DADOS.md;Arquitetura / Dados / Plataforma;BLOQUEADOR;CT-DAD-11;"Adicionar tenants/células e interromper cada fase de realocação; repetir chave antiga após corte.";"Mapa e autoridade únicos, idempotência preservada; migração aborta se não puder cumprir orçamento.";Histórico de placement/epoch, cópia, barreira, chaves e efeitos externos.;NÃO EXECUTADO;NOVO V4
EXE-01;Admissão durável;04_EXECUCAO_E_INTEGRACOES.md;Órbita;BLOQUEADOR;CT-EXE-01;Perder resposta após commit em SYNC/ASYNC/AUTO e repetir a mesma chave.;"Mesmo UUIDv7; conflito para payload diferente; recusa anterior ao commit não é aceite fictício.";Registros de admissão, hash, identidade e chamadas físicas por modalidade.;NÃO EXECUTADO;REVISADO V4
EXE-02;Modos de atendimento;04_EXECUCAO_E_INTEGRACOES.md;Órbita / Produto;BLOQUEADOR;CT-EXE-02;Consumir provedor síncrono nos três modos e tentar SYNC em provedor assíncrono.;"SYNC direto final ou erro explícito sem 202; AUTO final/202; ASYNC 202; modo incompatível bloqueado.";Contrato, tempos, respostas públicas e observação do broker.;NÃO EXECUTADO;REVISADO V4
EXE-03;Estados e autoridade;04_EXECUCAO_E_INTEGRACOES.md;Órbita / Cometa;BLOQUEADOR;CT-EXE-03;Chegar evento intermediário/tardio após final e vencer deadline de operação UNKNOWN.;"Sem regressão/reabertura; EXPIRED preserva evidência e reconciliação financeira.";Histórico de versões, SLA e pendências.;NÃO EXECUTADO;REVISADO V4
EXE-04;Operação e correlação;04_EXECUCAO_E_INTEGRACOES.md;Cometa;BLOQUEADOR;CT-EXE-04;Antecipar callback e rotacionar segredo durante polling na mesma conta.;Correlação inequívoca por conta/operação, versão de credencial registrada e nenhum cruzamento de tenant.;Recibos, conta/binding/versão de segredo sem seu valor e timeline.;NÃO EXECUTADO;REVISADO V4
EXE-05;Polling configurável;04_EXECUCAO_E_INTEGRACOES.md;Cometa / Integrações;BLOQUEADOR;CT-EXE-05;Ativar polling homologado, reiniciar scheduler e receber 429.;Agenda retoma sem duplicar posse e respeita quota, prazo e Retry-After.;Timers, contadores e tentativas de status.;NÃO EXECUTADO;REVISADO V4
EXE-06;Concorrência entre callback e polling;04_EXECUCAO_E_INTEGRACOES.md;Cometa;BLOQUEADOR;CT-EXE-06;Callback e polling entregam mesmo final simultaneamente e depois finais conflitantes.;"Final equivalente aplicado uma vez; conflito preservado para reconciliação.";Resultado, eventos, entregas e ledger.;NÃO EXECUTADO;REVISADO V4
EXE-07;Contrato de consultas públicas;04_EXECUCAO_E_INTEGRACOES.md;Órbita;BLOQUEADOR;CT-EXE-07;Consultar pendente/final/EXPIRED/expurgado/outro tenant e fonte de leitura indisponível.;"Representação local e códigos de recurso corretos; 503 quando não há fonte adequada; zero consulta externa por GET.";Respostas, hashes, autorização e contagem externa.;NÃO EXECUTADO;REVISADO V4
EXE-08;Webhooks;04_EXECUCAO_E_INTEGRACOES.md;Cometa / Pulsar;BLOQUEADOR;CT-EXE-08;"Destino recebe webhook mas perde resposta; reentregar após mudar versão do catálogo.";"Mesmo corpo/hash/evento final, headers de tentativa novos; sem transformar de novo ou executar provedor.";Recibos, hashes, assinatura e contador externo.;NÃO EXECUTADO;REVISADO V4
EXE-09;Falhas, retry e encerramento;04_EXECUCAO_E_INTEGRACOES.md;Órbita / Cometa / SRE;BLOQUEADOR;CT-EXE-09;"Provedor executa mas retorna timeout; alternativo está saudável.";"UNKNOWN e reconciliação; nenhuma troca insegura; DLQ não apaga obrigação.";Tentativas, diagnóstico e decisão operacional.;NÃO EXECUTADO;REVISADO V4
EXE-10;TTL de reprocessamento em segundos;04_EXECUCAO_E_INTEGRACOES.md;Órbita / Cometa / Produto;BLOQUEADOR;CT-EXE-10;"Primeiro erro t=5, TTL 60 s e deadline t=120; reiniciar worker e repetir mensagens.";"Retry_until permanece t=65; zero TTL não repete; não estender a janela ou exceder deadline.";Agenda, instantes, tentativas e erro final correspondente.;NÃO EXECUTADO;REVISADO V4
EXE-11;Deadline, encerramento e disputa temporal;04_EXECUCAO_E_INTEGRACOES.md;Órbita / Produto;BLOQUEADOR;CT-EXE-11;"Provedor responde HTTP 200 pendente; disputar final/timeout em D−ε, D e D+ε e atrasar commit.";"Um final; igualdade é atraso; elegibilidade durável comprovada ou nenhum sucesso publicado.";Ponto de ordenação/commit, resultado final, outbox e histórico de SLA.;NÃO EXECUTADO;REVISADO V4
EXE-12;Rejeição de retorno tardio sem apagar evidência;04_EXECUCAO_E_INTEGRACOES.md;Cometa / Órbita / Financeiro;BLOQUEADOR;CT-EXE-12;Protocolo expirado recebe callback final autenticado e poll em voo.;"Guardar REJECTED_LATE_SLA, sem reabrir ou cobrar sucesso; ack de recibo não é aceitação de negócio.";Recibos, corpo final GET/webhook e apuração financeira.;NÃO EXECUTADO;REVISADO V4
EXE-13;Paralelismo e espera eficiente;04_EXECUCAO_E_INTEGRACOES.md;Engenharia;BLOQUEADOR;CT-EXE-13;"Produto tem dois passos independentes e um dependente; provedor lento, CPU intensa e restart.";"Paralelismo limitado nos independentes; sem espera longa por thread/transação; recursos isolados.";Timeline, profiling, pools, agenda e consumo por workload.;NÃO EXECUTADO;REVISADO V4
EXE-14;SYNC direto, prazo e resposta final;04_EXECUCAO_E_INTEGRACOES.md;Órbita / Cometa / Produto;BLOQUEADOR;CT-EXE-14;"Finalizar SYNC simples/composto com fila fora; exceder conexão com TTL maior.";"Final persistido na mesma conexão quando elegível; prazo efetivo limita retry e sem 202 implícito.";Trace ponta a ponta, dados duráveis, prazo resolvido e respostas.;NÃO EXECUTADO;NOVO V4
EXE-15;Posse única entre despacho direto, fila e recuperação;04_EXECUCAO_E_INTEGRACOES.md;Engenharia;BLOQUEADOR;CT-EXE-15;Duplicar HTTPS, acionar watchdog, expirar lease e entregar evento concorrente.;"Uma intenção/operação; transferência de posse explícita; UNKNOWN não gera novo efeito inseguro.";Histórico DIRECT/QUEUED, epoch, command_id, tentativas e fatos econômicos.;NÃO EXECUTADO;NOVO V4
EXE-16;UUIDv7, repetição e consulta futura;04_EXECUCAO_E_INTEGRACOES.md;Órbita / Integrações;BLOQUEADOR;CT-EXE-16;Gerar protocolos concorrentes nas três modalidades, perder respostas e testar acesso cruzado.;"UUIDv7 em todos os aceites, recuperação por chave e GET local; UUID alheio não concede acesso.";Validação do formato/unicidade, repetição e teste negativo de tenant.;NÃO EXECUTADO;NOVO V4
FIN-01;Contrato de aquisição;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Atlas / Comercial;BLOQUEADOR;CT-FIN-01;Contrato de compra omite custo de status usado pelo vínculo.;Bloquear oferta até definir incidência e preço.;Validação contratual e versão homologada.;NÃO EXECUTADO;REVISADO V4
FIN-02;Contrato de venda e planos;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Atlas / Comercial;BLOQUEADOR;CT-FIN-02;Apurar 120 unidades nos dois modelos de faixa e 103 no plano com franquia.;"R$116,00 marginal; R$96,00 volume total; R$52,40 na franquia sintética.";Cálculo independente e extrato detalhado.;NÃO EXECUTADO;REVISADO V4
FIN-03;Vigência e snapshot;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Atlas / Libra;BLOQUEADOR;CT-FIN-03;Alterar tarifa entre admissão e final e lançar fato tardio.;"Snapshot respeitado; exceção temporal e ajuste têm versão explícita.";Contrato fixado, fatos e cálculo.;NÃO EXECUTADO;REVISADO V4
FIN-04;Medição e chaves econômicas;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Libra;BLOQUEADOR;CT-FIN-04;Receber dois event_ids para mesmo fato e duas consultas realmente pagas.;Dedup de receita/custo lógico sem eliminar consultas físicas tarifáveis.;Chaves econômicas e memória de cálculo.;NÃO EXECUTADO;REVISADO V4
FIN-05;Matriz de incidência;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Financeiro / Produto;BLOQUEADOR;CT-FIN-05;Executar todas as linhas da matriz econômica com plano explícito.;Incidência corresponde ao contrato em cada situação.;Tabela esperado/observado por natureza de lançamento.;NÃO EXECUTADO;REVISADO V4
FIN-06;Reserva de saldo e limites;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Libra / Órbita;BLOQUEADOR;CT-FIN-06;"Disputar última unidade de saldo; perder resposta de reserva; vencer lease em voo.";"Uma reserva válida; sem efeito externo descoberto e sem liberação prematura.";Reservas, saldo e operações externas.;NÃO EXECUTADO;REVISADO V4
FIN-07;Apuração e ledger;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Libra / Financeiro;BLOQUEADOR;CT-FIN-07;Aplicar estorno e valores decimais em moedas diferentes.;"Lotes balanceados por moeda; originais imutáveis; arredondamento reproduzível.";Ledger, cálculo independente e trilha de ajuste.;NÃO EXECUTADO;REVISADO V4
FIN-08;Fechamento, conciliação e pagamento;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Libra / Financeiro;BLOQUEADOR;CT-FIN-08;Reexportar lote, receber pagamento parcial e detectar fatura divergente.;"Sem duplicação; parcial não vira liquidado; divergência bloqueia aprovação pertinente.";Lotes, recibos ERP, saldos e conciliação.;NÃO EXECUTADO;REVISADO V4
FIN-09;Exemplos de referência para QA;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Financeiro / QA;BLOQUEADOR;CT-FIN-09;Recalcular independentemente todos os exemplos financeiros do capítulo 05.;"Valores e naturezas coincidem; callbacks e GETs não alteram total.";Planilha/cálculo de referência aprovado por Financeiro.;NÃO EXECUTADO;REVISADO V4
FIN-10;Quebra de SLA, custo tardio e créditos;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Financeiro / Comercial;BLOQUEADOR;CT-FIN-10;"Cliente paga R$1 por sucesso até 60 s; provedor custa R$0,30 por aceite e termina aos 80 s.";"Zero receita de sucesso e custo real/contestação; crédito não é presumido.";Cálculo independente, SLA bilateral, ledger e contestação.;NÃO EXECUTADO;REVISADO V4
FIN-11;Conta, credencial e responsabilidade econômica;05_CONTRATOS_CONSUMO_E_FINANCEIRO.md;Comercial / Financeiro / Libra;BLOQUEADOR;CT-FIN-11;Apurar os três modelos de conta/pagador com rotação, polls pagos e resultado tardio.;Obrigações e receitas correspondem ao contrato, sem inferência pelo modo de credencial.;Recomputação independente, extrato sintético, fatos e ledger por contraparte.;NÃO EXECUTADO;NOVO V4
CFG-01;Portal e API administrativa;06_CONFIGURACAO_E_SEGURANCA.md;Atlas / Produto;OBRIGATORIO;CT-CFG-01;Configurar polling em adaptador capaz e protocolo desconhecido em outro.;"Primeiro é configurável sem deploy; segundo é bloqueado.";Histórico do portal e declaração de capacidade.;NÃO EXECUTADO;REVISADO V4
CFG-02;Publicação governada;06_CONFIGURACAO_E_SEGURANCA.md;Atlas / Segurança;OBRIGATORIO;CT-CFG-02;Publicar conjunto incompatível e depois revogar acesso durante sincronização.;"Sem publicação parcial; revogação obedece prazo e fail-closed definido.";Versões por componente e decisão de admissão.;NÃO EXECUTADO;REVISADO V4
CFG-03;Manutenção e diagnóstico;06_CONFIGURACAO_E_SEGURANCA.md;Operações / Engenharia;OBRIGATORIO;CT-CFG-03;Operador pede reenvio e reexecução do mesmo protocolo.;Ações distintas, permissões e impacto financeiro explícitos.;Trilha de operação e identidades resultantes.;NÃO EXECUTADO;REVISADO V4
SEG-01;Identidade e autorização;06_CONFIGURACAO_E_SEGURANCA.md;Segurança;BLOQUEADOR;CT-SEG-01;Forjar header de tenant e usar token de audiência errada.;"Rejeitar; identidade confiável e autorização por recurso preservadas.";Testes negativos e auditoria sem segredo.;NÃO EXECUTADO;REVISADO V4
SEG-02;Destinos, callbacks e dados;06_CONFIGURACAO_E_SEGURANCA.md;Segurança / Integrações;BLOQUEADOR;CT-SEG-02;Cadastrar callback de metadados, redirect interno e DNS alterado.;Bloquear destinos proibidos e não vazar credenciais.;Teste SSRF e evidência de egress.;NÃO EXECUTADO;REVISADO V4
SEG-03;Isolamento e auditoria;06_CONFIGURACAO_E_SEGURANCA.md;Segurança / QA;BLOQUEADOR;CT-SEG-03;Trocar IDs de protocolo/objeto/contrato entre tenants.;Sem acesso ou confirmação indevida de existência.;Matriz negativa e trilha de auditoria.;NÃO EXECUTADO;REVISADO V4
CFG-04;Configuração dos novos limites;06_CONFIGURACAO_E_SEGURANCA.md;Atlas / Produto / SRE;OBRIGATORIO;CT-CFG-04;Publicar SYNC incompatível, TTL inválido, binding ambíguo e capacidade não pronta.;"Publicação bloqueada por causa; valores e versões resolvidos visíveis sem segredo.";Relatório de validação e snapshots de configurações válidas/recusadas.;NÃO EXECUTADO;REVISADO V4
SEG-04;Administração entre tenants para desenvolvedores;06_CONFIGURACAO_E_SEGURANCA.md;Segurança / liderança técnica;BLOQUEADOR;CT-SEG-04;"Cliente tenta protocolo alheio; dev com perfil global lê; depois perde concessão.";"Cliente negado, dev autorizado auditado e revogado negado; sem segredo/edição implícitos.";Testes negativos, identidade individual e trilha de acesso.;NÃO EXECUTADO;REVISADO V4
CFG-05;Gestão de credenciais Hub–cliente–provedor;06_CONFIGURACAO_E_SEGURANCA.md;Atlas / Segurança / Integrações;OBRIGATORIO;CT-CFG-05;Cadastrar, testar, suspender e rotacionar credencial compartilhada e dedicada.;Ciclo de vida auditado, conta/tenant exclusivos, segredo restrito ao cofre/workload e sem teste com efeito invisível.;Trilha de configuração, permissões e teste de acesso sem dados reais.;NÃO EXECUTADO;NOVO V4
CFG-06;Onboarding e capacidade como serviço interno;06_CONFIGURACAO_E_SEGURANCA.md;Atlas / Plataforma;OBRIGATORIO;CT-CFG-06;Ativar vários clientes concorrentes e novo vínculo até requerer célula adicional.;Reserva idempotente, provisionamento retomável e rota publicada apenas com capacidade qualificada.;Estados do workflow, recursos criados, prontidão e prova de ausência de ação manual.;NÃO EXECUTADO;NOVO V4
SEG-05;Resolução, rotação e isolamento de segredo;06_CONFIGURACAO_E_SEGURANCA.md;Segurança / Cometa;BLOQUEADOR;CT-SEG-05;"Falhar credencial dedicada com compartilhada válida; revogar chave; cortar cofre em processo frio/quente.";Sem fallback de conta, validade respeitada, outros bindings continuam e nenhum segredo exposto.;Matriz de autorização, tentativas por conta, tempo de revogação e auditoria.;NÃO EXECUTADO;NOVO V4
OPE-01;Modelo de capacidade;07_DESEMPENHO_E_OPERACAO.md;Arquitetura / SRE;OBRIGATORIO;CT-OPE-01;Qualificar mix e calcular fan-out/polls sob carga nominal.;"Capacidade inclui operações, polls, bytes e backlog; premissas registradas.";Relatório de carga completo e cálculo de dimensionamento.;NÃO EXECUTADO;REVISADO V4
OPE-02;Estratégia de baixa latência;07_DESEMPENHO_E_OPERACAO.md;Engenharia;OBRIGATORIO;CT-OPE-02;Aumentar réplicas até o máximo com provedor lento e relatórios concorrentes.;"Pools/cotas limitados; consultas e admissão protegidas de saturação evitável.";Profiling, latências, conexões e limites globais.;NÃO EXECUTADO;REVISADO V4
OPE-03;SLOs e semântica de garantia;07_DESEMPENHO_E_OPERACAO.md;Produto / SRE;OBRIGATORIO;CT-OPE-03;Medir manutenção, timeout SYNC, rejeição por capacidade e perfil crítico sem RTO aprovado.;"SLIs não ocultam falhas; 202 não é sucesso SYNC; metas propostas e gates críticos explicitados.";Definição de população, séries, coorte por modalidade e aprovação do perfil.;NÃO EXECUTADO;REVISADO V4
OPE-04;Ambientes e alta disponibilidade;07_DESEMPENHO_E_OPERACAO.md;Plataforma/SRE;OBRIGATORIO;CT-OPE-04;Revisar cinco ambientes, células e perder uma zona em ppd.;"Topologia e isolamento correspondem à classe; recuperação medida e dados reconciliados.";Inventário, failover e resultados de RTO/RPO.;NÃO EXECUTADO;REVISADO V4
OPE-05;Probes, escala e proteção;07_DESEMPENHO_E_OPERACAO.md;Plataforma/SRE / Engenharia;OBRIGATORIO;CT-OPE-05;"Falhar Redis/provedor e writer, separando rotas GET/admissão; reduzir workers.";"Liveness sem cascata, readiness por capacidade e drenagem segura; HPA não ultrapassa limites.";Health por workload, tráfego, métricas e histórico de posse.;NÃO EXECUTADO;REVISADO V4
