scenario_key,scenario_id,change,requirement_id,requirement_title,scenario_title,spec,line,source_digest
hub-interoperabilidade-v4:ARQ-03:S004,ARQ-03:S004,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,Operar sem serviços AWS exige nova decisão de arquitetura,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,69,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S001,ARQ-04:S001,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,"Atlas API usa Go pela uniformidade de toolchain, não pela velocidade de CRUD",openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,77,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S002,ARQ-04:S002,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,"Espera de rede suportada libera a thread, mas bloqueio evitável no caminho crítico é proibido",openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,82,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S003,ARQ-04:S003,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,Interface de Atlas em TypeScript/React não processa pedidos de clientes,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,87,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S004,ARQ-04:S004,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,Comparação de desempenho entre Go e outras linguagens exige equivalência de condições,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,92,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S001,ARQ-05:S001,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,PostgreSQL compartilhado entre células é separado por célula,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,100,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S002,ARQ-05:S002,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,"Dependência de produção exige versão fixada, plano de atualização, licença e proprietário",openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,105,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S003,ARQ-05:S003,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,Mesh ou Envoy não são adotados automaticamente para o controle adaptativo do Cometa,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,110,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S004,ARQ-05:S004,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,Traces do OpenTelemetry/Tempo não servem como fonte contábil ou única evidência de SLA,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,115,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S001,ARQ-06:S001,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,KEDA é o único proprietário do HPA de um Deployment de worker,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,123,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S002,ARQ-06:S002,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,Crossplane reconcilia recursos mas não decide quando expandir,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,128,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S003,ARQ-06:S003,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,Redução de pods ou nós não apaga dados protegidos,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,133,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S004,ARQ-06:S004,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,Perda do plano de gestão impede novas expansões mas não desliga células prontas,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,138,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-01:S001,COM-01:S001,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,SYNC entre Órbita e Cometa dispensa broker no percurso obrigatório,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,146,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-01:S002,COM-01:S002,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,Retorno HTTP interno perdido não autoriza nova operação,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,151,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-01:S003,COM-01:S003,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,gRPC e request/reply sobre broker não são adotados como padrão do caminho SYNC,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,156,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-01:S004,COM-01:S004,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,Pulsar consulta Órbita por HTTPS autenticado sem acesso direto ao banco,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,161,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S001,COM-02:S001,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,REST/JSON por HTTPS é disponibilizado mediante OpenAPI e schemas homologados,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,169,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S002,COM-02:S002,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,SFTP e gRPC/Protobuf não são aceitos automaticamente na v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,174,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S003,COM-02:S003,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,Conexão direta do cliente ao banco é recusada independentemente do catálogo,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,179,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S004,COM-02:S004,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,Integração via broker externo do parceiro exige ADR explícito,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,184,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S001,COM-03:S001,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Publicação usa outbox na mesma transação do estado local,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,192,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S002,COM-03:S002,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Ack ao broker ocorre somente após o commit do inbox,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,197,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S003,COM-03:S003,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Chave semântica reconhece fatos econômicos equivalentes com event_ids distintos,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,202,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S004,COM-03:S004,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Evento antigo não regride estado e gera pendência de reconciliação,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,207,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S001,COM-04:S001,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Mudança aditiva sem alteração de significado mantém compatibilidade,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,215,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S002,COM-04:S002,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Remoção de campo ou mudança de unidade exige nova versão,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,220,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S003,COM-04:S003,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Consumidor desconhecendo a versão obrigatória coloca a mensagem em quarentena,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,225,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S004,COM-04:S004,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Campo crítico ausente rejeita a mensagem,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,230,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S001,COM-05:S001,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,"GET e webhook entregam o mesmo corpo final, diferindo apenas em cabeçalhos de transporte",openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,238,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S002,COM-05:S002,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,GET pendente retorna 200 com a variante pendente sem ser evento final,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,243,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S003,COM-05:S003,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,Protocolo EXPIRED usa representação de erro prevista e não envia resultado tardio,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,248,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S004,COM-05:S004,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,URL pré-assinada de arquivo não é injetada no corpo final congelado,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,253,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S001,COM-06:S001,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,Fato final externo durável permite finalizar sucesso no mesmo HTTP público,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,261,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S002,COM-06:S002,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,HTTP 200 sem fato conservado não é tratado como final válido,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,266,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S003,COM-06:S003,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,Timeout de rede não autoriza retry automático de negócio fora de Órbita/Cometa,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,271,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S004,COM-06:S004,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,Intenção ASYNC marcada DIRECT não é tratada como comando QUEUED,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,276,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-01:S001,CAT-01:S001,hub-interoperabilidade-v4,CAT-01,Catálogo de serviços,Publicação de versão com metadados completos e vínculo homologado,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,8,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-01:S002,CAT-01:S002,hub-interoperabilidade-v4,CAT-01,Catálogo de serviços,Entrada incompatível é recusada antes da execução,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,13,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-01:S003,CAT-01:S003,hub-interoperabilidade-v4,CAT-01,Catálogo de serviços,Consulta histórica de versão descontinuada preserva semântica original,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,18,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-02:S001,CAT-02:S001,hub-interoperabilidade-v4,CAT-02,Portfólio e disponibilidade,Cliente visualiza apenas ofertas contratadas e autorizadas,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,26,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-02:S002,CAT-02:S002,hub-interoperabilidade-v4,CAT-02,Portfólio e disponibilidade,Oferta publicada mas não contratada é negada mesmo com token válido,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,31,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-02:S003,CAT-02:S003,hub-interoperabilidade-v4,CAT-02,Portfólio e disponibilidade,Suspensão de novas vendas não afeta pedidos já aceitos,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,36,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-03:S001,CAT-03:S001,hub-interoperabilidade-v4,CAT-03,Agregação,Agregação bem-sucedida com seções obrigatória e opcionais presentes,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,44,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-03:S002,CAT-03:S002,hub-interoperabilidade-v4,CAT-03,Agregação,Falha da parte obrigatória impede anúncio de sucesso completo,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,49,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-03:S003,CAT-03:S003,hub-interoperabilidade-v4,CAT-03,Agregação,Resposta opcional ausente é declarada explicitamente,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,54,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-04:S001,CAT-04:S001,hub-interoperabilidade-v4,CAT-04,Composição,Composição publicada com grafo acíclico válido,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,62,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-04:S002,CAT-04:S002,hub-interoperabilidade-v4,CAT-04,Composição,Geocodificação com múltiplas opções segue política do contrato,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,67,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-04:S003,CAT-04:S003,hub-interoperabilidade-v4,CAT-04,Composição,Publicação recusada por ciclo ou ausência de política de falha,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,72,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-05:S001,CAT-05:S001,hub-interoperabilidade-v4,CAT-05,Consolidação e efeitos,Consolidação por quórum sem cancelar trabalho em voo,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,80,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-05:S002,CAT-05:S002,hub-interoperabilidade-v4,CAT-05,Consolidação e efeitos,Falha parcial não gera rollback universal,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,85,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-05:S003,CAT-05:S003,hub-interoperabilidade-v4,CAT-05,Consolidação e efeitos,Produto com efeito irreversível oferece opção de resultado parcial,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,90,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-06:S001,CAT-06:S001,hub-interoperabilidade-v4,CAT-06,Seleção e equivalência de provedores,Seleção de provedor elegível ordenado por regra versionada com decisão persistida,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,98,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-06:S002,CAT-06:S002,hub-interoperabilidade-v4,CAT-06,Seleção e equivalência de provedores,Failover recusado sem prova de segurança após timeout,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,103,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-06:S003,CAT-06:S003,hub-interoperabilidade-v4,CAT-06,Seleção e equivalência de provedores,Hedging permanece desabilitado,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,108,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-07:S001,CAT-07:S001,hub-interoperabilidade-v4,CAT-07,Política comercial do produto,Pacote com três passos gera receita única e discrimina custos sem triplicar preço,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,116,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-07:S002,CAT-07:S002,hub-interoperabilidade-v4,CAT-07,Política comercial do produto,Configuração impede cobrança simultânea de pacote e componentes,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,121,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-07:S003,CAT-07:S003,hub-interoperabilidade-v4,CAT-07,Política comercial do produto,Oferta não liberada sem contrato válido para todos os passos,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,126,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-08:S001,CAT-08:S001,hub-interoperabilidade-v4,CAT-08,Rastreabilidade da composição,Resposta final e apuração financeira reconstruídas a partir de evidências persistidas,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,134,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-08:S002,CAT-08:S002,hub-interoperabilidade-v4,CAT-08,Rastreabilidade da composição,Passo compartilhado executa uma única vez quando declarado pelo produto,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,139,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-08:S003,CAT-08:S003,hub-interoperabilidade-v4,CAT-08,Rastreabilidade da composição,Pedidos distintos com payload coincidente não são deduplicados globalmente,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,144,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-09:S001,CAT-09:S001,hub-interoperabilidade-v4,CAT-09,Contratos técnicos por cliente,"Contrato técnico do cliente valida entrada, traduz e valida saída antes da conclusão",openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,152,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-09:S002,CAT-09:S002,hub-interoperabilidade-v4,CAT-09,Contratos técnicos por cliente,Erro de transformação impede sucesso e preserva evidência canônica,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,157,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-09:S003,CAT-09:S003,hub-interoperabilidade-v4,CAT-09,Contratos técnicos por cliente,Cliente não pode selecionar tenant ou transformação arbitrária no pedido,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,162,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-09:S004,CAT-09:S004,hub-interoperabilidade-v4,CAT-09,Contratos técnicos por cliente,Alteração de configuração não afeta protocolo em voo nem histórico,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,167,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
