scenario_key,scenario_id,change,requirement_id,requirement_title,scenario_title,status,evidence,spec,line,source_digest
hub-interoperabilidade-v4:COM-01:S001,COM-01:S001,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,SYNC entre Órbita e Cometa dispensa broker no percurso obrigatório,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,146,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-01:S002,COM-01:S002,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,Retorno HTTP interno perdido não autoriza nova operação,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,151,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-01:S003,COM-01:S003,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,gRPC e request/reply sobre broker não são adotados como padrão do caminho SYNC,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,156,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-01:S004,COM-01:S004,hub-interoperabilidade-v4,COM-01,Comunicação interna definida,Pulsar consulta Órbita por HTTPS autenticado sem acesso direto ao banco,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,161,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S001,COM-02:S001,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,REST/JSON por HTTPS é disponibilizado mediante OpenAPI e schemas homologados,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,169,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S002,COM-02:S002,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,SFTP e gRPC/Protobuf não são aceitos automaticamente na v4,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,174,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S003,COM-02:S003,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,Conexão direta do cliente ao banco é recusada independentemente do catálogo,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,179,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-02:S004,COM-02:S004,hub-interoperabilidade-v4,COM-02,Integração de clientes e provedores,Integração via broker externo do parceiro exige ADR explícito,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,184,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S001,COM-03:S001,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Publicação usa outbox na mesma transação do estado local,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,192,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S002,COM-03:S002,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Ack ao broker ocorre somente após o commit do inbox,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,197,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S003,COM-03:S003,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Chave semântica reconhece fatos econômicos equivalentes com event_ids distintos,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,202,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-03:S004,COM-03:S004,hub-interoperabilidade-v4,COM-03,Mensagens e idempotência,Evento antigo não regride estado e gera pendência de reconciliação,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,207,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S001,COM-04:S001,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Mudança aditiva sem alteração de significado mantém compatibilidade,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,215,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S002,COM-04:S002,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Remoção de campo ou mudança de unidade exige nova versão,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,220,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S003,COM-04:S003,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Consumidor desconhecendo a versão obrigatória coloca a mensagem em quarentena,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,225,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-04:S004,COM-04:S004,hub-interoperabilidade-v4,COM-04,Evolução de contratos,Campo crítico ausente rejeita a mensagem,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,230,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S001,COM-05:S001,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,"GET e webhook entregam o mesmo corpo final, diferindo apenas em cabeçalhos de transporte",NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,238,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S002,COM-05:S002,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,GET pendente retorna 200 com a variante pendente sem ser evento final,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,243,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S003,COM-05:S003,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,Protocolo EXPIRED usa representação de erro prevista e não envia resultado tardio,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,248,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-05:S004,COM-05:S004,hub-interoperabilidade-v4,COM-05,Mesmo contrato em GET e webhook,URL pré-assinada de arquivo não é injetada no corpo final congelado,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,253,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S001,COM-06:S001,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,Fato final externo durável permite finalizar sucesso no mesmo HTTP público,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,261,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S002,COM-06:S002,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,HTTP 200 sem fato conservado não é tratado como final válido,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,266,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S003,COM-06:S003,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,Timeout de rede não autoriza retry automático de negócio fora de Órbita/Cometa,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,271,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:COM-06:S004,COM-06:S004,hub-interoperabilidade-v4,COM-06,Contrato do despacho direto,Intenção ASYNC marcada DIRECT não é tratada como comando QUEUED,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,276,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-01:S001,CAT-01:S001,hub-interoperabilidade-v4,CAT-01,Catálogo de serviços,Publicação de versão com metadados completos e vínculo homologado,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,8,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-01:S002,CAT-01:S002,hub-interoperabilidade-v4,CAT-01,Catálogo de serviços,Entrada incompatível é recusada antes da execução,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,13,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-01:S003,CAT-01:S003,hub-interoperabilidade-v4,CAT-01,Catálogo de serviços,Consulta histórica de versão descontinuada preserva semântica original,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,18,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-02:S001,CAT-02:S001,hub-interoperabilidade-v4,CAT-02,Portfólio e disponibilidade,Cliente visualiza apenas ofertas contratadas e autorizadas,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,26,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-02:S002,CAT-02:S002,hub-interoperabilidade-v4,CAT-02,Portfólio e disponibilidade,Oferta publicada mas não contratada é negada mesmo com token válido,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,31,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-02:S003,CAT-02:S003,hub-interoperabilidade-v4,CAT-02,Portfólio e disponibilidade,Suspensão de novas vendas não afeta pedidos já aceitos,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,36,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-03:S001,CAT-03:S001,hub-interoperabilidade-v4,CAT-03,Agregação,Agregação bem-sucedida com seções obrigatória e opcionais presentes,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,44,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-03:S002,CAT-03:S002,hub-interoperabilidade-v4,CAT-03,Agregação,Falha da parte obrigatória impede anúncio de sucesso completo,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,49,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-03:S003,CAT-03:S003,hub-interoperabilidade-v4,CAT-03,Agregação,Resposta opcional ausente é declarada explicitamente,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,54,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-04:S001,CAT-04:S001,hub-interoperabilidade-v4,CAT-04,Composição,Composição publicada com grafo acíclico válido,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,62,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-04:S002,CAT-04:S002,hub-interoperabilidade-v4,CAT-04,Composição,Geocodificação com múltiplas opções segue política do contrato,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,67,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-04:S003,CAT-04:S003,hub-interoperabilidade-v4,CAT-04,Composição,Publicação recusada por ciclo ou ausência de política de falha,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,72,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:CAT-05:S001,CAT-05:S001,hub-interoperabilidade-v4,CAT-05,Consolidação e efeitos,Consolidação por quórum sem cancelar trabalho em voo,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,80,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
