achado;titulo_historico;R3_relacionados;estado_no_snapshot
F-11;SYNC, AUTO e UUID em erros não cumprem todo o contrato;F-R3-04,F-R3-07;"Polling saudável agora usa StepDeadline; TTL de primeira falha persistido. Barreira retry_until pré-despacho e semântica UI ainda pendentes; T-R2-01 não presumidamente resolvido. Perfil técnico/output mapping/representação e versão solicitada avançaram. Produtos precisam snapshot por etapa e consolidação efetiva, preservar GET/webhook congelados."
F-12;Credencial dedicada resolvida não é a usada na chamada;F-R3-01,F-R3-11;"rest-json-v1 instalado e teste HTTP independente do simulador; preservar registry e homologar provedores/contratos reais e capacidades por etapa. L1 antes do cofre, locks limitados/canceláveis, revogação e mTLS têm código/testes. Probe adaptado PASS. Homologação de rotação multi-réplica/provedor continua gate específico."
F-13;Autenticação do simulador não equivale a integração segura real;F-R3-01,F-R3-02;"rest-json-v1 instalado e teste HTTP independente do simulador; preservar registry e homologar provedores/contratos reais e capacidades por etapa. Rota pública/HMAC/inbox/worker implementados. F-R5-01 demonstra caminho órfão sem verificação prévia; escopo/rotação/retention continuam exigindo prova."
F-14;Redis e broker bloqueiam inclusive reinício do caminho SYNC;F-R3-09,F-R3-11;Oferta seletiva indexada implementada e cache fallback existe. Fallback em 403 reproduzido e remoto antes do cache mantém custo no caminho quente. L1 antes do cofre, locks limitados/canceláveis, revogação e mTLS têm código/testes. Probe adaptado PASS. Homologação de rotação multi-réplica/provedor continua gate específico.
F-15;Polling sem autenticação, lease e orçamento configurável;F-R3-02,F-R3-04;"Rota pública/HMAC/inbox/worker implementados. F-R5-01 demonstra caminho órfão sem verificação prévia; escopo/rotação/retention continuam exigindo prova. Polling saudável agora usa StepDeadline; TTL de primeira falha persistido. Barreira retry_until pré-despacho e semântica UI ainda pendentes; T-R2-01 não presumidamente resolvido."
F-16;Não há amortecimento adaptativo nem isolamento de carga;F-R3-10,F-R3-12;Capacidade agora ligada aos transportes e métricas de feedback. Qualificar política obrigatória, settlement recuperável e custo/justiça em escala, sem tratar implementação como ausente. Pool de egress por origem implementado. Preservar testes SSRF/mTLS e qualificar budgets end-to-end, memória e concorrência global sob carga real.
F-17;Catálogo publicado pode ser sobrescrito e não governa admissão;F-R3-07,F-R3-09;Perfil técnico/output mapping/representação e versão solicitada avançaram. Produtos precisam snapshot por etapa e consolidação efetiva, preservar GET/webhook congelados. Oferta seletiva indexada implementada e cache fallback existe. Fallback em 403 reproduzido e remoto antes do cache mantém custo no caminho quente.
F-18;Produtos, DAG e contratos legados ainda não existem;F-R3-07,F-R3-08;Perfil técnico/output mapping/representação e versão solicitada avançaram. Produtos precisam snapshot por etapa e consolidação efetiva, preservar GET/webhook congelados. Plano/etapas/compensações persistidos e produto HTTP local executados. Concorrência de slots, recuperação pós-RUNNING, rotas por etapa e compensação fora do prazo do cliente são gaps atuais.
F-19;Importação não ativa adaptadores e substitui configurações locais;F-R3-01;"rest-json-v1 instalado e teste HTTP independente do simulador; preservar registry e homologar provedores/contratos reais e capacidades por etapa."
F-20;Console limitado a quatro formulários e histórico efêmero;F-R3-14,F-R3-15,F-R3-16;"OperationsPage corrige delivery ID e APIs de SLA/reconcile existem. Preservar melhorias; evoluir cenários de autorização, conflito, escala e frescor com dados reais. FinancePage corrige tenant/DTO/datas/ator e aprovação distinta. Falta intenção persistida sob duplo timeout/reload, IDs grandes e fechamento ligado a produtores. Multimodalidade, auth condicional, fuso, importação/simulação e mensagens de erro avançaram. Lookup falha acima de 1000 e DTO runtime ainda genérico."
F-21;Faltam jornadas administrativas de produto, operação e financeiro;F-R3-14,F-R3-15,F-R3-16;"OperationsPage corrige delivery ID e APIs de SLA/reconcile existem. Preservar melhorias; evoluir cenários de autorização, conflito, escala e frescor com dados reais. FinancePage corrige tenant/DTO/datas/ator e aprovação distinta. Falta intenção persistida sob duplo timeout/reload, IDs grandes e fechamento ligado a produtores. Multimodalidade, auth condicional, fuso, importação/simulação e mensagens de erro avançaram. Lookup falha acima de 1000 e DTO runtime ainda genérico."
F-22;Formulários expõem detalhes técnicos e estados pouco guiados;F-R3-16;Multimodalidade, auth condicional, fuso, importação/simulação e mensagens de erro avançaram. Lookup falha acima de 1000 e DTO runtime ainda genérico.
F-23;Custo e receita não usam contratos econômicos congelados;F-R3-18;"Incidências SUBMITTED/STATUS por attempt implementadas. SetWatermark apenas chamado em teste; faltam fechamento por completude e disputa tardia operacional."
F-24;Saldo estrito não contabiliza consumo já capturado;F-R3-17;"Ledger/dedupe e testes UNKNOWN avançaram. Captura não demonstra diferença reserva versus valor efetivo; franquia pré-efeito e compensação exigem prova integral."
F-25;Ledger, precisão monetária e fechamento não estão implementados;F-R3-17,F-R3-18;"Ledger/dedupe e testes UNKNOWN avançaram. Captura não demonstra diferença reserva versus valor efetivo; franquia pré-efeito e compensação exigem prova integral. Incidências SUBMITTED/STATUS por attempt implementadas. SetWatermark apenas chamado em teste; faltam fechamento por completude e disputa tardia operacional."
F-26;Webhook usa URL como identidade do segredo;F-R3-19;"Destinos congelados no aceite e representação no fato final implementados; preservar igualdade de bytes e isolamento. Requalificar retry/rotação/consumo legado sem destino."
F-27;Webhook sem claim, recibos completos e política por cliente;F-R3-19;"Destinos congelados no aceite e representação no fato final implementados; preservar igualdade de bytes e isolamento. Requalificar retry/rotação/consumo legado sem destino."
F-28;Resultado final não é materializado como representação imutável completa;F-R3-07,F-R3-19;"Perfil técnico/output mapping/representação e versão solicitada avançaram. Produtos precisam snapshot por etapa e consolidação efetiva, preservar GET/webhook congelados. Destinos congelados no aceite e representação no fato final implementados; preservar igualdade de bytes e isolamento. Requalificar retry/rotação/consumo legado sem destino."
F-29;Arquivos grandes não participam dos fluxos reais;F-R3-20;FileRefs enviados ao adapter, resultado volumoso conservado/vinculado e retenção tem worker. Restore versionado/pins e prova produtiva de acesso a bytes externos continuam.
F-30;Persistência sem isolamento de papéis, expurgo e auditoria durável;F-R3-23;RLS helper sem adoção nos stores e prova negativa com rollback permanecem. Restore digests melhora cópia, não comprova retomada populada reconciliada.
F-31;Docker local não inclui toda a plataforma e não garante persistência na recriação;F-R3-21;"Kind independente com dependências/UI/gateway implementado: não repetir achado de ausência. Laboratório usa recursos efêmeros; ambientes remotos completos/IaC/durabilidade precisam qualificação."
F-32;Kubernetes é referência incompleta, sem os cinco ambientes;F-R3-21;"Kind independente com dependências/UI/gateway implementado: não repetir achado de ausência. Laboratório usa recursos efêmeros; ambientes remotos completos/IaC/durabilidade precisam qualificação."
F-33;Autoscaling de células e reconciliação de IaC não fecham o circuito;F-R3-22;HPA/KEDA e perda de pods ensaiados localmente. Não equivalem a escala de nós/dados/placement nem justiça/RPO sob falha de zona.
F-34;Clientes AWS e bootstrap são fixos ao ambiente local;F-R3-21;"Kind independente com dependências/UI/gateway implementado: não repetir achado de ausência. Laboratório usa recursos efêmeros; ambientes remotos completos/IaC/durabilidade precisam qualificação."
F-35;Probes não acompanham capacidades e não há drenagem graciosa;F-R3-22;HPA/KEDA e perda de pods ensaiados localmente. Não equivalem a escala de nós/dados/placement nem justiça/RPO sob falha de zona.
F-36;Observabilidade não mede SLA, pressão nem custódia;F-R3-24;SLA API e sinais reais/outbox/alertas têm novas provas. Qualificar coortes/budgets bilaterais, métricas de obrigação e SLO sob carga/falha por contrato.
F-37;Ensaios de HA, isolamento e recuperação não foram demonstrados;F-R3-22,F-R3-23;HPA/KEDA e perda de pods ensaiados localmente. Não equivalem a escala de nós/dados/placement nem justiça/RPO sob falha de zona. RLS helper sem adoção nos stores e prova negativa com rollback permanecem. Restore digests melhora cópia, não comprova retomada populada reconciliada.
F-38;Cobertura existente não prova as garantias que os nomes dos testes sugerem;F-R3-25;Inventário remoto 201/732 e 231 linhas associadas/501 não qualificadas registrados honestamente. Ponte da R4 regenerada ausente e proveniência por SHA/digest exigem fechamento.
F-39;Rastreabilidade histórica contém conclusões que não refletem o snapshot;F-R3-25;Inventário remoto 201/732 e 231 linhas associadas/501 não qualificadas registrados honestamente. Ponte da R4 regenerada ausente e proveniência por SHA/digest exigem fechamento.
F-40;Versões e contratos de ferramenta carecem de qualificação operacional;F-R3-21,F-R3-25;"Kind independente com dependências/UI/gateway implementado: não repetir achado de ausência. Laboratório usa recursos efêmeros; ambientes remotos completos/IaC/durabilidade precisam qualificação. Inventário remoto 201/732 e 231 linhas associadas/501 não qualificadas registrados honestamente. Ponte da R4 regenerada ausente e proveniência por SHA/digest exigem fechamento."
F-41;Destinos configuráveis não possuem defesa SSRF;F-R3-01,F-R3-02;"rest-json-v1 instalado e teste HTTP independente do simulador; preservar registry e homologar provedores/contratos reais e capacidades por etapa. Rota pública/HMAC/inbox/worker implementados. F-R5-01 demonstra caminho órfão sem verificação prévia; escopo/rotação/retention continuam exigindo prova."
F-42;Recepção e pools não limitam custo por tenant;F-R3-10,F-R3-12;Capacidade agora ligada aos transportes e métricas de feedback. Qualificar política obrigatória, settlement recuperável e custo/justiça em escala, sem tratar implementação como ausente. Pool de egress por origem implementado. Preservar testes SSRF/mTLS e qualificar budgets end-to-end, memória e concorrência global sob carga real.
